frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,382.0,56.0,313.0,77.0,517.0,58.0,132.0,70.0,645.0,71.0
2.0,391.0,58.0,307.0,77.0,532.0,71.0,131.0,70.0,648.0,69.0
3.0,402.0,56.0,304.0,77.0,540.0,64.0,130.0,71.0,669.0,66.0
4.0,415.0,56.0,297.0,78.0,551.0,64.0,129.0,69.0,683.0,66.0
5.0,432.0,57.0,291.0,79.0,553.0,67.0,125.0,67.0,701.0,65.0
6.0,451.0,59.0,281.0,75.0,560.0,64.0,110.0,69.0,702.0,58.0
7.0,465.0,59.0,273.0,74.0,565.0,66.0,108.0,64.0,707.0,56.0
8.0,478.0,57.0,266.0,74.0,575.0,61.0,54.0,38.0,704.0,55.0
9.0,498.0,58.0,261.0,75.0,596.0,59.0,109.0,61.0,700.0,52.0
10.0,510.0,57.0,257.0,71.0,610.0,66.0,98.0,74.0,701.0,52.0
11.0,529.0,54.0,251.0,66.0,617.0,76.0,88.0,66.0,706.0,47.0
12.0,544.0,57.0,243.0,65.0,620.0,73.0,85.0,60.0,709.0,41.0
13.0,555.0,56.0,235.0,61.0,639.0,84.0,80.0,56.0,714.0,40.0
14.0,572.0,48.0,228.0,59.0,633.0,76.0,79.0,56.0,711.0,41.0
15.0,589.0,49.0,224.0,57.0,625.0,66.0,76.0,53.0,713.0,52.0
16.0,598.0,53.0,217.0,54.0,621.0,61.0,68.0,48.0,717.0,48.0
17.0,605.0,49.0,212.0,54.0,619.0,61.0,71.0,45.0,716.0,51.0
18.0,616.0,51.0,211.0,59.0,609.0,49.0,61.0,36.0,715.0,53.0
19.0,627.0,50.0,205.0,58.0,613.0,50.0,48.0,32.0,716.0,47.0
20.0,646.0,49.0,198.0,55.0,610.0,47.0,61.0,39.0,715.0,43.0
21.0,657.0,51.0,197.0,55.0,600.0,55.0,63.0,40.0,716.0,48.0
22.0,668.0,51.0,192.0,55.0,590.0,46.0,60.0,38.0,716.0,48.0
23.0,684.0,45.0,186.0,55.0,583.0,48.0,54.0,37.0,716.0,48.0
24.0,699.0,48.0,185.0,54.0,593.0,49.0,56.0,34.0,714.0,45.0
25.0,702.0,49.0,180.0,54.0,598.0,41.0,56.0,35.0,720.0,40.0
26.0,706.0,49.0,177.0,54.0,602.0,36.0,57.0,34.0,721.0,47.0
27.0,704.0,49.0,175.0,55.0,612.0,35.0,55.0,33.0,718.0,43.0
28.0,707.0,47.0,172.0,55.0,590.0,51.0,48.0,28.0,718.0,44.0
29.0,708.0,48.0,166.0,59.0,579.0,58.0,54.0,29.0,720.0,44.0
30.0,707.0,49.0,160.0,58.0,599.0,51.0,55.0,31.0,720.0,43.0
31.0,708.0,49.0,157.0,57.0,600.0,47.0,50.0,31.0,722.0,50.0
32.0,708.0,50.0,156.0,56.0,601.0,45.0,46.0,29.0,729.0,45.0
33.0,708.0,51.0,154.0,57.0,574.0,50.0,45.0,30.0,725.0,54.0
34.0,708.0,55.0,156.0,56.0,552.0,51.0,44.0,30.0,722.0,48.0
35.0,707.0,56.0,150.0,56.0,575.0,55.0,44.0,29.0,723.0,50.0
36.0,699.0,62.0,147.0,54.0,585.0,60.0,46.0,31.0,728.0,58.0
37.0,745.0,40.0,143.0,54.0,583.0,57.0,47.0,34.0,728.0,53.0
38.0,709.0,63.0,140.0,53.0,587.0,57.0,48.0,34.0,732.0,47.0
39.0,711.0,61.0,146.0,55.0,578.0,59.0,51.0,37.0,724.0,42.0
40.0,715.0,58.0,147.0,60.0,571.0,55.0,50.0,34.0,724.0,44.0
41.0,712.0,61.0,148.0,61.0,582.0,51.0,51.0,28.0,717.0,44.0
42.0,731.0,26.0,144.0,62.0,592.0,51.0,48.0,29.0,709.0,43.0
43.0,687.0,72.0,144.0,64.0,609.0,54.0,48.0,29.0,696.0,38.0
44.0,677.0,76.0,145.0,67.0,617.0,51.0,45.0,26.0,689.0,35.0
45.0,674.0,73.0,141.0,69.0,627.0,52.0,45.0,27.0,690.0,36.0
46.0,657.0,76.0,139.0,68.0,617.0,61.0,50.0,28.0,694.0,35.0
47.0,640.0,71.0,137.0,67.0,599.0,55.0,50.0,28.0,686.0,31.0
48.0,624.0,67.0,134.0,70.0,596.0,48.0,50.0,27.0,687.0,40.0
49.0,609.0,69.0,144.0,80.0,600.0,49.0,49.0,27.0,679.0,40.0
50.0,588.0,73.0,144.0,81.0,611.0,52.0,47.0,27.0,676.0,39.0
51.0,575.0,76.0,141.0,89.0,622.0,56.0,49.0,26.0,679.0,50.0
52.0,580.0,65.0,136.0,86.0,617.0,41.0,48.0,28.0,677.0,50.0
53.0,594.0,61.0,134.0,83.0,625.0,39.0,46.0,29.0,678.0,55.0
54.0,647.0,6.0,129.0,78.0,630.0,39.0,47.0,30.0,667.0,54.0
