frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,95.0,85.0,147.0,61.0,,,,
2.0,,,128.0,78.0,138.0,64.0,,,,
3.0,,,141.0,82.0,133.0,67.0,,,,
4.0,,,162.0,78.0,125.0,73.0,,,,
5.0,,,188.0,76.0,113.0,69.0,,,,
6.0,,,209.0,82.0,108.0,67.0,,,,
7.0,,,238.0,75.0,104.0,69.0,,,,
8.0,,,252.0,84.0,102.0,70.0,,,,
9.0,,,263.0,86.0,95.0,70.0,,,,
10.0,,,280.0,81.0,82.0,72.0,,,,
11.0,,,295.0,78.0,73.0,76.0,,,,
12.0,,,314.0,78.0,66.0,77.0,,,,
13.0,,,334.0,75.0,61.0,79.0,,,,
14.0,,,345.0,83.0,58.0,77.0,,,,
15.0,,,372.0,76.0,59.0,76.0,,,,
16.0,,,383.0,88.0,60.0,75.0,,,,
17.0,,,390.0,86.0,80.0,68.0,,,,
18.0,,,413.0,71.0,107.0,69.0,,,,
19.0,,,426.0,73.0,123.0,66.0,,,,
20.0,,,458.0,74.0,106.0,72.0,,,,
21.0,,,473.0,65.0,116.0,58.0,,,,
22.0,,,504.0,66.0,128.0,60.0,,,,
23.0,,,531.0,63.0,112.0,65.0,,,,
24.0,,,545.0,72.0,104.0,72.0,,,,
25.0,,,563.0,77.0,87.0,75.0,,,,
26.0,,,588.0,73.0,73.0,73.0,,,,
27.0,,,602.0,88.0,63.0,81.0,,,,
28.0,,,610.0,87.0,58.0,82.0,,,,
29.0,,,621.0,80.0,57.0,82.0,,,,
30.0,,,619.0,88.0,56.0,81.0,,,,
31.0,,,611.0,91.0,58.0,80.0,,,,
32.0,,,611.0,87.0,90.0,71.0,,,,
33.0,,,592.0,78.0,97.0,74.0,,,,
34.0,,,582.0,82.0,104.0,71.0,,,,
35.0,,,558.0,79.0,135.0,68.0,,,,
36.0,,,551.0,73.0,137.0,74.0,,,,
37.0,,,532.0,84.0,131.0,78.0,,,,
38.0,,,517.0,89.0,141.0,81.0,,,,
39.0,,,502.0,100.0,164.0,73.0,,,,
40.0,,,494.0,101.0,166.0,78.0,,,,
41.0,,,487.0,101.0,161.0,79.0,,,,
42.0,,,467.0,107.0,151.0,81.0,,,,
43.0,,,469.0,90.0,138.0,85.0,,,,
44.0,,,449.0,90.0,146.0,65.0,,,,
45.0,,,428.0,88.0,130.0,63.0,,,,
46.0,,,407.0,97.0,114.0,66.0,,,,
47.0,,,402.0,83.0,103.0,63.0,,,,
