frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,361.0,68.0,474.0,66.0,,,,
2.0,,,353.0,69.0,464.0,60.0,,,,
3.0,,,348.0,68.0,462.0,60.0,,,,
4.0,,,340.0,67.0,461.0,64.0,,,,
5.0,,,334.0,65.0,448.0,68.0,,,,
6.0,,,330.0,62.0,446.0,65.0,,,,
7.0,,,327.0,61.0,444.0,57.0,,,,
8.0,,,328.0,63.0,437.0,54.0,,,,
9.0,,,325.0,59.0,421.0,53.0,,,,
10.0,,,309.0,58.0,412.0,50.0,,,,
11.0,,,303.0,58.0,407.0,52.0,,,,
12.0,,,298.0,58.0,408.0,45.0,,,,
13.0,,,294.0,58.0,408.0,47.0,,,,
14.0,,,288.0,58.0,403.0,42.0,,,,
15.0,,,280.0,55.0,395.0,40.0,,,,
16.0,,,275.0,53.0,385.0,40.0,,,,
17.0,,,272.0,52.0,386.0,35.0,,,,
18.0,,,268.0,54.0,381.0,33.0,,,,
19.0,,,257.0,54.0,376.0,37.0,,,,
20.0,,,252.0,54.0,369.0,46.0,,,,
21.0,,,246.0,55.0,361.0,47.0,,,,
22.0,,,241.0,55.0,359.0,45.0,,,,
23.0,,,237.0,55.0,352.0,46.0,,,,
24.0,,,233.0,56.0,351.0,42.0,,,,
25.0,,,233.0,56.0,357.0,36.0,,,,
26.0,,,233.0,56.0,365.0,34.0,,,,
27.0,,,226.0,56.0,372.0,36.0,,,,
28.0,,,221.0,56.0,386.0,48.0,,,,
29.0,,,211.0,57.0,395.0,44.0,,,,
30.0,,,202.0,57.0,417.0,36.0,,,,
31.0,,,200.0,58.0,436.0,44.0,,,,
32.0,,,198.0,60.0,437.0,47.0,,,,
33.0,,,194.0,62.0,422.0,48.0,,,,
34.0,,,195.0,58.0,406.0,42.0,,,,
35.0,,,194.0,55.0,391.0,46.0,,,,
36.0,,,197.0,54.0,377.0,42.0,,,,
37.0,,,195.0,49.0,371.0,41.0,,,,
38.0,,,195.0,48.0,366.0,37.0,,,,
39.0,,,191.0,45.0,347.0,35.0,,,,
40.0,,,183.0,43.0,343.0,34.0,,,,
41.0,,,180.0,45.0,338.0,35.0,,,,
42.0,,,182.0,44.0,335.0,32.0,,,,
43.0,,,182.0,46.0,326.0,34.0,,,,
44.0,,,181.0,49.0,316.0,34.0,,,,
45.0,,,171.0,55.0,308.0,34.0,,,,
46.0,,,170.0,54.0,303.0,39.0,,,,
47.0,,,170.0,53.0,314.0,39.0,,,,
48.0,,,161.0,51.0,309.0,40.0,,,,
49.0,,,160.0,50.0,302.0,41.0,,,,
50.0,,,163.0,51.0,293.0,41.0,,,,
51.0,,,165.0,50.0,288.0,47.0,,,,
