frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,0.0,0.0,675.0,44.0,332.0,44.0,577.0,42.0,685.0,2.0
2.0,0.0,0.0,672.0,49.0,331.0,46.0,593.0,19.0,674.0,3.0
3.0,0.0,0.0,677.0,41.0,337.0,45.0,609.0,41.0,662.0,6.0
4.0,0.0,0.0,674.0,47.0,344.0,46.0,618.0,47.0,655.0,10.0
5.0,0.0,0.0,674.0,47.0,356.0,44.0,646.0,43.0,650.0,5.0
6.0,0.0,0.0,675.0,46.0,364.0,45.0,646.0,44.0,639.0,57.0
7.0,0.0,0.0,675.0,42.0,367.0,46.0,648.0,46.0,568.0,39.0
8.0,0.0,0.0,675.0,41.0,372.0,46.0,657.0,47.0,570.0,37.0
9.0,0.0,0.0,675.0,41.0,373.0,47.0,653.0,46.0,576.0,33.0
10.0,0.0,0.0,671.0,54.0,353.0,53.0,664.0,47.0,584.0,31.0
11.0,0.0,0.0,670.0,48.0,353.0,48.0,652.0,47.0,591.0,30.0
12.0,0.0,0.0,675.0,45.0,366.0,48.0,647.0,48.0,601.0,31.0
13.0,0.0,0.0,674.0,54.0,371.0,50.0,652.0,48.0,612.0,26.0
14.0,0.0,0.0,675.0,54.0,389.0,54.0,650.0,50.0,631.0,23.0
15.0,0.0,0.0,675.0,48.0,394.0,50.0,654.0,52.0,654.0,23.0
16.0,0.0,0.0,673.0,54.0,401.0,50.0,660.0,43.0,735.0,69.0
17.0,0.0,0.0,676.0,47.0,405.0,51.0,661.0,42.0,740.0,58.0
18.0,0.0,0.0,674.0,48.0,411.0,50.0,658.0,54.0,742.0,59.0
19.0,0.0,0.0,677.0,44.0,416.0,48.0,660.0,44.0,749.0,59.0
20.0,0.0,0.0,676.0,52.0,428.0,48.0,662.0,42.0,742.0,58.0
21.0,0.0,0.0,675.0,54.0,434.0,37.0,660.0,25.0,638.0,27.0
22.0,0.0,0.0,676.0,45.0,448.0,50.0,661.0,22.0,648.0,24.0
23.0,0.0,0.0,678.0,41.0,452.0,52.0,659.0,25.0,651.0,28.0
24.0,0.0,0.0,676.0,46.0,452.0,52.0,658.0,26.0,658.0,22.0
25.0,0.0,0.0,672.0,45.0,468.0,50.0,661.0,48.0,651.0,24.0
26.0,0.0,0.0,669.0,47.0,478.0,51.0,657.0,50.0,631.0,23.0
27.0,0.0,0.0,665.0,49.0,481.0,50.0,648.0,52.0,635.0,24.0
28.0,0.0,0.0,665.0,50.0,493.0,51.0,654.0,51.0,649.0,28.0
29.0,0.0,0.0,678.0,44.0,518.0,50.0,643.0,52.0,650.0,26.0
30.0,0.0,0.0,678.0,46.0,515.0,26.0,647.0,51.0,656.0,24.0
31.0,0.0,0.0,681.0,42.0,509.0,51.0,635.0,53.0,658.0,24.0
32.0,0.0,0.0,683.0,41.0,518.0,50.0,644.0,50.0,660.0,23.0
33.0,0.0,0.0,680.0,54.0,528.0,48.0,646.0,50.0,749.0,51.0
34.0,0.0,0.0,681.0,54.0,535.0,51.0,653.0,48.0,742.0,54.0
35.0,0.0,0.0,668.0,49.0,544.0,50.0,654.0,47.0,642.0,24.0
36.0,0.0,0.0,657.0,51.0,552.0,50.0,650.0,50.0,631.0,25.0
37.0,0.0,0.0,655.0,41.0,568.0,54.0,653.0,53.0,629.0,24.0
38.0,0.0,0.0,643.0,42.0,575.0,51.0,643.0,52.0,644.0,31.0
39.0,0.0,0.0,626.0,43.0,581.0,53.0,638.0,48.0,655.0,26.0
40.0,0.0,0.0,614.0,42.0,593.0,51.0,641.0,51.0,650.0,23.0
41.0,0.0,0.0,583.0,50.0,593.0,50.0,646.0,43.0,640.0,21.0
42.0,0.0,0.0,557.0,21.0,592.0,49.0,645.0,48.0,641.0,22.0
43.0,0.0,0.0,551.0,45.0,594.0,48.0,644.0,32.0,660.0,29.0
44.0,0.0,0.0,564.0,41.0,590.0,51.0,643.0,54.0,653.0,28.0
45.0,0.0,0.0,556.0,43.0,597.0,51.0,638.0,20.0,749.0,53.0
46.0,0.0,0.0,547.0,49.0,611.0,49.0,646.0,48.0,749.0,69.0
47.0,0.0,0.0,562.0,42.0,610.0,49.0,648.0,50.0,642.0,25.0
48.0,0.0,0.0,538.0,45.0,613.0,49.0,648.0,48.0,640.0,25.0
49.0,0.0,0.0,504.0,42.0,602.0,48.0,645.0,52.0,657.0,28.0
50.0,0.0,0.0,453.0,44.0,601.0,49.0,647.0,50.0,660.0,26.0
51.0,0.0,0.0,417.0,42.0,604.0,49.0,646.0,53.0,663.0,25.0
52.0,0.0,0.0,384.0,42.0,608.0,50.0,654.0,40.0,655.0,21.0
53.0,0.0,0.0,346.0,40.0,625.0,49.0,654.0,41.0,660.0,22.0
