frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,665.0,52.0,189.0,47.0,79.0,56.0,666.0,45.0,653.0,49.0
2.0,749.0,4.0,164.0,42.0,83.0,56.0,683.0,46.0,660.0,47.0
3.0,742.0,3.0,149.0,44.0,38.0,6.0,681.0,47.0,660.0,49.0
4.0,655.0,49.0,129.0,46.0,39.0,6.0,683.0,50.0,664.0,19.0
5.0,736.0,4.0,117.0,43.0,80.0,50.0,678.0,56.0,658.0,17.0
6.0,734.0,7.0,95.0,42.0,83.0,49.0,697.0,59.0,655.0,20.0
7.0,749.0,9.0,91.0,45.0,39.0,6.0,727.0,57.0,658.0,18.0
8.0,749.0,13.0,91.0,48.0,87.0,51.0,728.0,60.0,661.0,20.0
9.0,749.0,6.0,92.0,49.0,39.0,6.0,719.0,58.0,663.0,19.0
10.0,749.0,15.0,91.0,50.0,84.0,52.0,714.0,56.0,659.0,21.0
11.0,675.0,49.0,88.0,33.0,39.0,6.0,739.0,49.0,645.0,30.0
12.0,670.0,50.0,90.0,48.0,91.0,54.0,739.0,46.0,646.0,28.0
13.0,739.0,4.0,90.0,51.0,88.0,57.0,727.0,52.0,644.0,28.0
14.0,734.0,0.0,86.0,53.0,88.0,68.0,723.0,54.0,639.0,26.0
15.0,661.0,54.0,85.0,51.0,93.0,58.0,714.0,54.0,643.0,29.0
16.0,664.0,52.0,81.0,50.0,98.0,43.0,712.0,52.0,653.0,26.0
17.0,659.0,54.0,87.0,26.0,99.0,40.0,711.0,49.0,651.0,23.0
18.0,656.0,52.0,89.0,46.0,44.0,6.0,708.0,44.0,654.0,24.0
19.0,662.0,53.0,86.0,51.0,99.0,37.0,728.0,28.0,749.0,69.0
20.0,663.0,53.0,83.0,53.0,88.0,50.0,723.0,26.0,658.0,24.0
21.0,661.0,52.0,80.0,39.0,36.0,9.0,722.0,34.0,657.0,21.0
22.0,734.0,8.0,81.0,30.0,34.0,6.0,718.0,41.0,749.0,69.0
23.0,742.0,1.0,89.0,33.0,113.0,47.0,714.0,38.0,749.0,69.0
24.0,664.0,50.0,84.0,34.0,128.0,38.0,713.0,36.0,749.0,69.0
25.0,738.0,9.0,86.0,44.0,117.0,46.0,743.0,34.0,655.0,22.0
26.0,737.0,8.0,84.0,48.0,131.0,44.0,749.0,34.0,749.0,69.0
27.0,663.0,52.0,80.0,48.0,176.0,30.0,749.0,30.0,749.0,69.0
28.0,662.0,52.0,79.0,50.0,179.0,35.0,743.0,31.0,662.0,20.0
29.0,731.0,1.0,88.0,27.0,194.0,44.0,736.0,37.0,659.0,20.0
30.0,730.0,0.0,89.0,30.0,210.0,47.0,739.0,42.0,664.0,20.0
31.0,732.0,17.0,93.0,45.0,196.0,56.0,742.0,40.0,671.0,16.0
32.0,725.0,64.0,85.0,44.0,197.0,43.0,738.0,43.0,656.0,22.0
33.0,725.0,62.0,91.0,45.0,225.0,53.0,736.0,48.0,655.0,20.0
34.0,714.0,43.0,81.0,50.0,245.0,45.0,742.0,38.0,660.0,20.0
35.0,724.0,36.0,82.0,40.0,263.0,56.0,681.0,52.0,649.0,24.0
36.0,717.0,58.0,83.0,47.0,328.0,59.0,741.0,32.0,651.0,22.0
37.0,727.0,55.0,82.0,43.0,374.0,57.0,736.0,27.0,749.0,69.0
38.0,736.0,54.0,83.0,41.0,426.0,56.0,732.0,23.0,653.0,28.0
39.0,731.0,58.0,82.0,38.0,481.0,46.0,728.0,22.0,649.0,31.0
40.0,742.0,50.0,82.0,49.0,534.0,20.0,739.0,17.0,662.0,23.0
41.0,749.0,52.0,83.0,48.0,572.0,20.0,742.0,8.0,655.0,25.0
42.0,749.0,57.0,86.0,48.0,604.0,22.0,740.0,8.0,650.0,31.0
43.0,654.0,33.0,79.0,49.0,648.0,21.0,733.0,10.0,645.0,28.0
44.0,648.0,33.0,83.0,37.0,680.0,29.0,657.0,54.0,644.0,33.0
45.0,718.0,50.0,80.0,52.0,720.0,43.0,729.0,27.0,652.0,24.0
46.0,637.0,27.0,85.0,52.0,729.0,54.0,733.0,40.0,664.0,19.0
47.0,718.0,31.0,87.0,51.0,690.0,49.0,729.0,38.0,663.0,25.0
48.0,709.0,28.0,84.0,58.0,675.0,38.0,727.0,38.0,749.0,69.0
49.0,700.0,14.0,88.0,49.0,705.0,18.0,730.0,37.0,662.0,17.0
50.0,703.0,18.0,87.0,53.0,738.0,19.0,721.0,34.0,659.0,15.0
51.0,693.0,25.0,95.0,41.0,708.0,32.0,729.0,24.0,640.0,23.0
52.0,690.0,32.0,105.0,52.0,688.0,31.0,728.0,19.0,643.0,24.0
53.0,680.0,30.0,99.0,62.0,666.0,20.0,719.0,24.0,640.0,26.0
