frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,726.0,49.0,651.0,109.0,683.0,70.0,33.0,73.0,598.0,83.0
2.0,727.0,50.0,644.0,94.0,679.0,68.0,40.0,82.0,607.0,80.0
3.0,727.0,50.0,629.0,89.0,676.0,68.0,40.0,81.0,616.0,79.0
4.0,728.0,50.0,636.0,100.0,658.0,67.0,40.0,85.0,631.0,81.0
5.0,731.0,55.0,620.0,102.0,649.0,72.0,37.0,85.0,630.0,79.0
6.0,725.0,60.0,602.0,105.0,639.0,65.0,36.0,79.0,660.0,82.0
7.0,722.0,60.0,585.0,103.0,622.0,60.0,35.0,83.0,677.0,91.0
8.0,725.0,64.0,575.0,103.0,621.0,59.0,35.0,85.0,681.0,92.0
9.0,722.0,65.0,558.0,109.0,620.0,60.0,34.0,85.0,689.0,87.0
10.0,725.0,64.0,553.0,99.0,622.0,67.0,34.0,86.0,686.0,88.0
11.0,730.0,6.0,562.0,93.0,616.0,67.0,35.0,79.0,691.0,88.0
12.0,721.0,67.0,552.0,89.0,606.0,70.0,35.0,80.0,687.0,85.0
13.0,723.0,66.0,546.0,83.0,601.0,64.0,34.0,83.0,690.0,85.0
14.0,714.0,64.0,534.0,75.0,595.0,60.0,34.0,86.0,687.0,86.0
15.0,701.0,68.0,523.0,78.0,578.0,66.0,33.0,79.0,690.0,87.0
16.0,684.0,53.0,515.0,86.0,577.0,72.0,41.0,77.0,688.0,87.0
17.0,671.0,60.0,505.0,83.0,582.0,70.0,44.0,80.0,694.0,86.0
18.0,665.0,54.0,496.0,79.0,583.0,82.0,45.0,83.0,690.0,86.0
19.0,652.0,42.0,489.0,95.0,597.0,73.0,43.0,76.0,692.0,87.0
20.0,654.0,49.0,480.0,92.0,604.0,76.0,38.0,78.0,693.0,86.0
21.0,651.0,43.0,474.0,83.0,593.0,70.0,44.0,77.0,692.0,86.0
22.0,648.0,52.0,470.0,80.0,608.0,73.0,49.0,75.0,693.0,87.0
23.0,638.0,49.0,477.0,70.0,616.0,85.0,46.0,77.0,694.0,84.0
24.0,627.0,53.0,492.0,73.0,613.0,75.0,49.0,75.0,692.0,83.0
25.0,615.0,57.0,491.0,88.0,620.0,67.0,46.0,73.0,692.0,85.0
26.0,612.0,55.0,500.0,81.0,637.0,74.0,43.0,74.0,693.0,86.0
27.0,594.0,57.0,511.0,75.0,654.0,72.0,43.0,79.0,697.0,85.0
28.0,595.0,51.0,511.0,82.0,668.0,78.0,49.0,79.0,700.0,81.0
29.0,584.0,55.0,514.0,92.0,684.0,82.0,51.0,87.0,693.0,84.0
30.0,587.0,57.0,529.0,90.0,687.0,83.0,51.0,81.0,697.0,85.0
31.0,585.0,58.0,540.0,84.0,663.0,79.0,49.0,79.0,691.0,86.0
32.0,582.0,57.0,547.0,85.0,670.0,80.0,52.0,79.0,700.0,86.0
33.0,583.0,59.0,550.0,94.0,682.0,87.0,64.0,70.0,685.0,90.0
34.0,577.0,53.0,556.0,84.0,690.0,79.0,55.0,72.0,694.0,86.0
35.0,581.0,51.0,554.0,88.0,699.0,78.0,51.0,71.0,689.0,90.0
36.0,580.0,53.0,554.0,94.0,692.0,75.0,70.0,69.0,684.0,92.0
37.0,587.0,52.0,563.0,90.0,684.0,77.0,63.0,74.0,690.0,89.0
38.0,586.0,52.0,557.0,89.0,689.0,75.0,84.0,63.0,685.0,86.0
39.0,587.0,52.0,551.0,97.0,698.0,83.0,77.0,62.0,680.0,91.0
40.0,586.0,49.0,562.0,92.0,675.0,77.0,56.0,70.0,692.0,89.0
41.0,593.0,45.0,567.0,75.0,659.0,70.0,67.0,78.0,684.0,89.0
42.0,584.0,49.0,575.0,73.0,648.0,74.0,89.0,77.0,689.0,90.0
43.0,588.0,66.0,576.0,72.0,662.0,83.0,95.0,84.0,684.0,92.0
44.0,581.0,71.0,587.0,77.0,663.0,72.0,106.0,73.0,685.0,90.0
45.0,581.0,75.0,599.0,82.0,674.0,78.0,113.0,66.0,692.0,86.0
46.0,581.0,79.0,587.0,89.0,691.0,80.0,130.0,62.0,691.0,80.0
47.0,584.0,80.0,575.0,91.0,673.0,64.0,133.0,60.0,700.0,74.0
48.0,578.0,79.0,553.0,98.0,670.0,76.0,141.0,67.0,704.0,75.0
49.0,579.0,74.0,542.0,102.0,665.0,83.0,136.0,65.0,697.0,78.0
50.0,582.0,80.0,543.0,100.0,654.0,87.0,118.0,70.0,699.0,82.0
51.0,581.0,85.0,567.0,108.0,639.0,84.0,105.0,68.0,689.0,88.0
52.0,577.0,84.0,581.0,108.0,632.0,78.0,92.0,69.0,669.0,89.0
