frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,749.0,11.0,686.0,69.0,708.0,16.0,64.0,9.0,574.0,22.0
2.0,749.0,13.0,680.0,59.0,647.0,54.0,76.0,16.0,581.0,25.0
3.0,749.0,11.0,665.0,54.0,646.0,54.0,73.0,38.0,593.0,24.0
4.0,749.0,17.0,672.0,61.0,678.0,9.0,84.0,38.0,613.0,22.0
5.0,749.0,25.0,658.0,69.0,674.0,16.0,73.0,35.0,611.0,23.0
6.0,749.0,26.0,640.0,69.0,658.0,6.0,66.0,35.0,642.0,49.0
7.0,749.0,3.0,624.0,66.0,634.0,56.0,73.0,24.0,667.0,50.0
8.0,749.0,27.0,613.0,67.0,633.0,57.0,72.0,34.0,676.0,23.0
9.0,743.0,0.0,593.0,69.0,632.0,32.0,71.0,33.0,675.0,18.0
10.0,742.0,14.0,588.0,56.0,634.0,4.0,73.0,29.0,674.0,34.0
11.0,742.0,32.0,595.0,50.0,633.0,7.0,67.0,34.0,678.0,18.0
12.0,737.0,35.0,587.0,47.0,624.0,9.0,66.0,34.0,669.0,20.0
13.0,737.0,39.0,581.0,45.0,612.0,57.0,72.0,19.0,674.0,15.0
14.0,730.0,69.0,569.0,33.0,610.0,50.0,71.0,33.0,669.0,22.0
15.0,729.0,67.0,556.0,40.0,596.0,65.0,65.0,31.0,672.0,23.0
16.0,629.0,29.0,547.0,44.0,529.0,41.0,78.0,31.0,670.0,27.0
17.0,703.0,51.0,539.0,45.0,608.0,66.0,84.0,35.0,673.0,21.0
18.0,700.0,46.0,528.0,37.0,548.0,34.0,88.0,35.0,671.0,26.0
19.0,688.0,32.0,520.0,49.0,559.0,29.0,78.0,35.0,673.0,28.0
20.0,692.0,33.0,511.0,45.0,570.0,30.0,74.0,31.0,672.0,24.0
21.0,689.0,28.0,504.0,39.0,551.0,30.0,82.0,33.0,671.0,27.0
22.0,686.0,31.0,502.0,38.0,571.0,28.0,100.0,19.0,673.0,23.0
23.0,677.0,27.0,510.0,24.0,646.0,69.0,83.0,37.0,670.0,28.0
24.0,666.0,34.0,525.0,27.0,580.0,29.0,99.0,24.0,666.0,28.0
25.0,655.0,39.0,521.0,40.0,583.0,28.0,79.0,37.0,670.0,20.0
26.0,651.0,26.0,531.0,37.0,604.0,31.0,76.0,35.0,672.0,23.0
27.0,634.0,24.0,542.0,30.0,621.0,31.0,80.0,33.0,676.0,20.0
28.0,637.0,17.0,496.0,54.0,644.0,26.0,99.0,31.0,669.0,20.0
29.0,623.0,16.0,547.0,52.0,662.0,26.0,105.0,41.0,669.0,27.0
30.0,626.0,17.0,562.0,48.0,664.0,29.0,90.0,42.0,749.0,69.0
31.0,622.0,21.0,574.0,46.0,634.0,31.0,102.0,34.0,671.0,29.0
32.0,621.0,18.0,581.0,43.0,642.0,32.0,90.0,44.0,681.0,20.0
33.0,621.0,21.0,586.0,55.0,660.0,29.0,118.0,26.0,675.0,46.0
34.0,616.0,12.0,590.0,45.0,658.0,30.0,109.0,30.0,680.0,29.0
35.0,618.0,14.0,587.0,49.0,664.0,32.0,102.0,36.0,679.0,16.0
36.0,618.0,15.0,590.0,58.0,652.0,35.0,118.0,33.0,676.0,28.0
37.0,626.0,13.0,598.0,53.0,650.0,30.0,116.0,36.0,677.0,20.0
38.0,626.0,14.0,591.0,49.0,658.0,29.0,129.0,24.0,670.0,22.0
39.0,626.0,16.0,584.0,58.0,673.0,32.0,122.0,24.0,672.0,39.0
40.0,626.0,10.0,597.0,54.0,644.0,27.0,110.0,30.0,679.0,14.0
41.0,630.0,8.0,603.0,36.0,619.0,33.0,47.0,49.0,672.0,20.0
42.0,624.0,15.0,612.0,36.0,682.0,65.0,134.0,42.0,679.0,21.0
