frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,71.0,92.0,,,626.0,90.0,,
2.0,,,68.0,93.0,,,616.0,85.0,,
3.0,,,70.0,83.0,,,605.0,89.0,,
4.0,,,66.0,83.0,,,591.0,88.0,,
5.0,,,70.0,92.0,,,578.0,93.0,,
6.0,,,83.0,82.0,,,563.0,92.0,,
7.0,,,75.0,77.0,,,557.0,95.0,,
8.0,,,77.0,80.0,,,547.0,92.0,,
9.0,,,89.0,89.0,,,542.0,93.0,,
10.0,,,107.0,92.0,,,533.0,91.0,,
11.0,,,124.0,92.0,,,526.0,95.0,,
12.0,,,107.0,76.0,,,516.0,93.0,,
13.0,,,70.0,85.0,,,512.0,93.0,,
14.0,,,76.0,85.0,,,501.0,94.0,,
15.0,,,92.0,85.0,,,495.0,91.0,,
16.0,,,98.0,78.0,,,488.0,93.0,,
17.0,,,102.0,77.0,,,480.0,93.0,,
18.0,,,115.0,77.0,,,476.0,90.0,,
19.0,,,106.0,82.0,,,467.0,92.0,,
20.0,,,74.0,82.0,,,459.0,91.0,,
21.0,,,66.0,88.0,,,457.0,90.0,,
22.0,,,80.0,78.0,,,446.0,88.0,,
23.0,,,87.0,80.0,,,445.0,88.0,,
24.0,,,92.0,78.0,,,443.0,87.0,,
25.0,,,104.0,83.0,,,438.0,89.0,,
26.0,,,112.0,84.0,,,429.0,92.0,,
27.0,,,116.0,83.0,,,421.0,93.0,,
28.0,,,120.0,76.0,,,415.0,95.0,,
29.0,,,129.0,81.0,,,406.0,92.0,,
30.0,,,139.0,84.0,,,399.0,96.0,,
31.0,,,143.0,81.0,,,394.0,91.0,,
32.0,,,145.0,80.0,,,387.0,94.0,,
33.0,,,140.0,85.0,,,379.0,96.0,,
34.0,,,120.0,76.0,,,372.0,96.0,,
35.0,,,111.0,74.0,,,367.0,95.0,,
36.0,,,99.0,71.0,,,359.0,97.0,,
37.0,,,100.0,81.0,,,352.0,96.0,,
38.0,,,87.0,88.0,,,345.0,95.0,,
39.0,,,88.0,87.0,,,337.0,95.0,,
40.0,,,115.0,96.0,,,335.0,96.0,,
41.0,,,131.0,94.0,,,330.0,93.0,,
42.0,,,149.0,102.0,,,325.0,92.0,,
43.0,,,159.0,98.0,,,315.0,95.0,,
44.0,,,179.0,97.0,,,310.0,96.0,,
45.0,,,198.0,96.0,,,300.0,93.0,,
46.0,,,207.0,94.0,,,296.0,93.0,,
47.0,,,222.0,100.0,,,292.0,96.0,,
48.0,,,240.0,99.0,,,285.0,94.0,,
49.0,,,259.0,100.0,,,277.0,93.0,,
50.0,,,272.0,97.0,,,271.0,94.0,,
51.0,,,283.0,93.0,,,270.0,93.0,,
