frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,7.0,0.0,89.0,47.0,82.0,43.0,96.0,18.0,64.0,12.0
2.0,8.0,0.0,88.0,47.0,82.0,44.0,55.0,41.0,68.0,11.0
3.0,8.0,0.0,57.0,10.0,82.0,44.0,59.0,41.0,70.0,12.0
4.0,8.0,0.0,85.0,47.0,79.0,45.0,64.0,45.0,71.0,19.0
5.0,8.0,0.0,90.0,45.0,75.0,45.0,68.0,43.0,59.0,13.0
6.0,8.0,0.0,59.0,10.0,75.0,47.0,70.0,44.0,54.0,11.0
7.0,7.0,0.0,50.0,10.0,73.0,51.0,73.0,43.0,51.0,12.0
8.0,8.0,0.0,55.0,9.0,80.0,53.0,73.0,44.0,52.0,12.0
9.0,8.0,0.0,61.0,12.0,41.0,6.0,75.0,44.0,55.0,12.0
10.0,8.0,0.0,70.0,12.0,99.0,45.0,76.0,45.0,57.0,11.0
11.0,7.0,34.0,71.0,10.0,99.0,43.0,79.0,44.0,61.0,10.0
12.0,8.0,0.0,52.0,11.0,99.0,36.0,75.0,45.0,64.0,9.0
13.0,8.0,36.0,62.0,9.0,98.0,41.0,81.0,44.0,58.0,9.0
14.0,8.0,0.0,60.0,11.0,99.0,45.0,74.0,45.0,61.0,9.0
15.0,8.0,0.0,60.0,13.0,99.0,39.0,81.0,45.0,63.0,10.0
16.0,8.0,0.0,54.0,12.0,99.0,45.0,76.0,44.0,64.0,10.0
17.0,8.0,0.0,55.0,10.0,99.0,46.0,79.0,44.0,69.0,12.0
18.0,8.0,0.0,50.0,11.0,99.0,43.0,79.0,45.0,67.0,9.0
19.0,8.0,0.0,61.0,9.0,99.0,44.0,81.0,44.0,58.0,9.0
20.0,8.0,0.0,61.0,10.0,99.0,32.0,76.0,45.0,51.0,10.0
21.0,8.0,0.0,72.0,8.0,98.0,48.0,73.0,44.0,54.0,9.0
22.0,8.0,0.0,49.0,11.0,97.0,44.0,73.0,45.0,52.0,9.0
23.0,8.0,0.0,56.0,10.0,95.0,50.0,74.0,45.0,59.0,8.0
24.0,8.0,0.0,56.0,8.0,94.0,51.0,71.0,45.0,63.0,8.0
25.0,8.0,0.0,61.0,11.0,94.0,47.0,71.0,44.0,62.0,9.0
26.0,8.0,0.0,60.0,12.0,84.0,46.0,76.0,44.0,64.0,8.0
27.0,8.0,0.0,61.0,12.0,94.0,51.0,78.0,45.0,68.0,8.0
28.0,8.0,0.0,52.0,14.0,86.0,54.0,79.0,43.0,69.0,8.0
29.0,8.0,0.0,55.0,14.0,99.0,50.0,79.0,44.0,70.0,7.0
30.0,8.0,0.0,58.0,12.0,32.0,13.0,82.0,44.0,78.0,8.0
31.0,8.0,0.0,53.0,12.0,94.0,31.0,75.0,44.0,85.0,5.0
32.0,8.0,0.0,53.0,11.0,99.0,30.0,76.0,45.0,83.0,6.0
33.0,8.0,0.0,57.0,12.0,34.0,8.0,77.0,46.0,81.0,7.0
34.0,8.0,0.0,56.0,11.0,99.0,34.0,76.0,45.0,79.0,5.0
35.0,8.0,0.0,46.0,12.0,99.0,32.0,77.0,44.0,79.0,2.0
36.0,8.0,0.0,48.0,12.0,99.0,29.0,83.0,45.0,82.0,2.0
37.0,8.0,0.0,56.0,12.0,99.0,32.0,79.0,43.0,81.0,1.0
38.0,9.0,0.0,69.0,10.0,99.0,33.0,75.0,45.0,81.0,4.0
39.0,8.0,0.0,70.0,10.0,99.0,42.0,75.0,44.0,71.0,5.0
40.0,9.0,0.0,73.0,9.0,99.0,35.0,77.0,44.0,71.0,0.0
41.0,8.0,0.0,74.0,12.0,99.0,32.0,76.0,45.0,76.0,2.0
42.0,8.0,0.0,80.0,11.0,99.0,47.0,75.0,43.0,77.0,3.0
43.0,9.0,0.0,77.0,12.0,91.0,48.0,78.0,43.0,78.0,6.0
44.0,8.0,0.0,81.0,11.0,94.0,48.0,82.0,43.0,82.0,8.0
45.0,9.0,0.0,79.0,11.0,90.0,48.0,77.0,44.0,87.0,8.0
46.0,9.0,0.0,80.0,12.0,90.0,46.0,76.0,44.0,89.0,10.0
47.0,9.0,49.0,83.0,12.0,99.0,47.0,77.0,45.0,91.0,12.0
48.0,9.0,49.0,86.0,11.0,99.0,45.0,78.0,45.0,86.0,10.0
49.0,9.0,0.0,81.0,11.0,99.0,48.0,75.0,45.0,74.0,10.0
50.0,9.0,0.0,82.0,10.0,93.0,48.0,76.0,44.0,68.0,8.0
51.0,9.0,48.0,78.0,11.0,98.0,47.0,77.0,44.0,71.0,8.0
