frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,581.0,24.0,,,,,,
2.0,,,577.0,25.0,,,,,,
3.0,,,571.0,24.0,,,,,,
4.0,,,562.0,20.0,,,,,,
5.0,,,554.0,22.0,,,,,,
6.0,,,548.0,20.0,,,,,,
7.0,,,544.0,19.0,,,,,,
8.0,,,540.0,20.0,,,,,,
9.0,,,533.0,24.0,,,,,,
10.0,,,526.0,24.0,,,,,,
11.0,,,520.0,24.0,,,,,,
12.0,,,517.0,23.0,,,,,,
13.0,,,513.0,22.0,,,,,,
14.0,,,509.0,21.0,,,,,,
15.0,,,504.0,21.0,,,,,,
16.0,,,499.0,22.0,,,,,,
17.0,,,494.0,22.0,,,,,,
18.0,,,489.0,21.0,,,,,,
19.0,,,485.0,23.0,,,,,,
20.0,,,484.0,24.0,,,,,,
21.0,,,482.0,22.0,,,,,,
22.0,,,480.0,21.0,,,,,,
23.0,,,474.0,22.0,,,,,,
24.0,,,465.0,26.0,,,,,,
25.0,,,465.0,24.0,,,,,,
26.0,,,460.0,26.0,,,,,,
27.0,,,459.0,28.0,,,,,,
28.0,,,454.0,27.0,,,,,,
29.0,,,449.0,26.0,,,,,,
30.0,,,441.0,26.0,,,,,,
31.0,,,438.0,26.0,,,,,,
32.0,,,432.0,19.0,,,,,,
33.0,,,430.0,28.0,,,,,,
34.0,,,432.0,31.0,,,,,,
35.0,,,431.0,29.0,,,,,,
36.0,,,426.0,29.0,,,,,,
37.0,,,422.0,28.0,,,,,,
38.0,,,418.0,29.0,,,,,,
39.0,,,418.0,31.0,,,,,,
40.0,,,415.0,31.0,,,,,,
41.0,,,413.0,29.0,,,,,,
42.0,,,408.0,29.0,,,,,,
43.0,,,403.0,30.0,,,,,,
44.0,,,401.0,31.0,,,,,,
45.0,,,401.0,31.0,,,,,,
46.0,,,401.0,32.0,,,,,,
47.0,,,399.0,32.0,,,,,,
48.0,,,397.0,32.0,,,,,,
49.0,,,395.0,32.0,,,,,,
50.0,,,393.0,32.0,,,,,,
51.0,,,391.0,32.0,,,,,,
