frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,659.0,60.0,419.0,57.0,712.0,86.0,524.0,46.0,203.0,51.0
2.0,633.0,63.0,401.0,73.0,717.0,85.0,509.0,41.0,226.0,52.0
3.0,606.0,64.0,393.0,77.0,711.0,88.0,511.0,44.0,225.0,55.0
4.0,578.0,71.0,380.0,82.0,711.0,73.0,510.0,48.0,227.0,56.0
5.0,540.0,64.0,372.0,76.0,715.0,62.0,529.0,52.0,231.0,57.0
6.0,516.0,65.0,367.0,78.0,692.0,72.0,530.0,58.0,246.0,57.0
7.0,484.0,60.0,360.0,72.0,691.0,76.0,544.0,69.0,275.0,59.0
8.0,472.0,60.0,339.0,81.0,699.0,74.0,556.0,65.0,323.0,66.0
9.0,470.0,61.0,324.0,83.0,692.0,73.0,560.0,56.0,365.0,62.0
10.0,455.0,58.0,309.0,67.0,677.0,71.0,564.0,57.0,397.0,65.0
11.0,448.0,60.0,294.0,73.0,684.0,58.0,590.0,69.0,426.0,67.0
12.0,433.0,60.0,288.0,75.0,691.0,57.0,621.0,72.0,471.0,53.0
13.0,412.0,59.0,271.0,86.0,711.0,67.0,641.0,67.0,511.0,59.0
14.0,391.0,55.0,259.0,91.0,708.0,73.0,664.0,61.0,556.0,76.0
15.0,369.0,55.0,249.0,89.0,701.0,71.0,684.0,58.0,582.0,78.0
16.0,354.0,54.0,245.0,86.0,700.0,66.0,709.0,56.0,602.0,82.0
17.0,339.0,50.0,238.0,75.0,706.0,61.0,718.0,52.0,605.0,81.0
18.0,331.0,51.0,216.0,85.0,714.0,58.0,735.0,57.0,615.0,63.0
19.0,322.0,54.0,216.0,95.0,706.0,56.0,738.0,81.0,626.0,81.0
20.0,305.0,53.0,226.0,89.0,693.0,68.0,748.0,29.0,637.0,81.0
21.0,290.0,55.0,227.0,93.0,682.0,57.0,737.0,61.0,661.0,84.0
22.0,272.0,53.0,227.0,91.0,667.0,58.0,736.0,57.0,684.0,82.0
23.0,256.0,51.0,224.0,92.0,642.0,58.0,735.0,62.0,716.0,67.0
24.0,253.0,48.0,224.0,88.0,623.0,54.0,715.0,54.0,716.0,53.0
25.0,244.0,44.0,222.0,87.0,609.0,51.0,702.0,51.0,700.0,64.0
26.0,230.0,42.0,221.0,86.0,603.0,49.0,707.0,60.0,710.0,75.0
27.0,216.0,47.0,220.0,80.0,594.0,46.0,690.0,61.0,705.0,86.0
28.0,202.0,49.0,216.0,82.0,587.0,50.0,665.0,47.0,686.0,71.0
29.0,186.0,46.0,204.0,83.0,592.0,61.0,652.0,56.0,710.0,84.0
30.0,122.0,14.0,205.0,88.0,591.0,64.0,643.0,60.0,716.0,86.0
31.0,162.0,40.0,207.0,86.0,592.0,76.0,633.0,67.0,710.0,75.0
32.0,165.0,43.0,207.0,86.0,575.0,75.0,640.0,69.0,713.0,64.0
33.0,115.0,21.0,206.0,84.0,551.0,75.0,647.0,73.0,717.0,55.0
34.0,114.0,23.0,204.0,83.0,530.0,66.0,653.0,72.0,717.0,48.0
35.0,102.0,20.0,206.0,87.0,502.0,63.0,659.0,71.0,712.0,50.0
36.0,95.0,11.0,203.0,82.0,466.0,46.0,689.0,70.0,696.0,56.0
37.0,123.0,40.0,196.0,82.0,446.0,46.0,698.0,68.0,712.0,63.0
38.0,109.0,44.0,195.0,79.0,422.0,47.0,689.0,68.0,716.0,56.0
39.0,62.0,22.0,187.0,74.0,393.0,62.0,692.0,69.0,715.0,50.0
40.0,78.0,48.0,186.0,73.0,344.0,82.0,697.0,71.0,712.0,61.0
41.0,64.0,43.0,183.0,74.0,303.0,84.0,686.0,73.0,705.0,74.0
42.0,46.0,45.0,183.0,76.0,259.0,90.0,675.0,77.0,712.0,79.0
43.0,43.0,52.0,183.0,78.0,223.0,87.0,675.0,72.0,715.0,82.0
44.0,66.0,56.0,184.0,79.0,185.0,70.0,691.0,66.0,710.0,85.0
45.0,109.0,67.0,182.0,82.0,151.0,73.0,699.0,59.0,697.0,82.0
46.0,138.0,65.0,181.0,87.0,113.0,86.0,697.0,60.0,678.0,76.0
47.0,159.0,68.0,182.0,84.0,106.0,75.0,699.0,60.0,652.0,78.0
48.0,142.0,51.0,182.0,70.0,80.0,65.0,690.0,74.0,637.0,63.0
49.0,214.0,68.0,161.0,76.0,71.0,77.0,672.0,80.0,616.0,57.0
50.0,246.0,67.0,149.0,70.0,75.0,79.0,682.0,72.0,594.0,56.0
51.0,277.0,72.0,139.0,67.0,102.0,61.0,689.0,71.0,572.0,59.0
52.0,302.0,75.0,124.0,64.0,87.0,68.0,697.0,72.0,549.0,55.0
53.0,318.0,62.0,116.0,65.0,62.0,58.0,693.0,71.0,520.0,47.0
54.0,359.0,62.0,105.0,58.0,77.0,56.0,696.0,69.0,486.0,47.0
