frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,704.0,12.0,101.0,4.0,,,326.0,51.0,730.0,69.0
2.0,676.0,17.0,123.0,11.0,,,326.0,52.0,737.0,68.0
3.0,645.0,23.0,53.0,52.0,,,324.0,50.0,749.0,69.0
4.0,620.0,23.0,50.0,54.0,,,323.0,52.0,749.0,69.0
5.0,592.0,24.0,150.0,7.0,,,307.0,47.0,749.0,66.0
6.0,563.0,25.0,75.0,52.0,,,291.0,40.0,678.0,54.0
7.0,530.0,23.0,72.0,47.0,,,281.0,42.0,717.0,0.0
8.0,516.0,26.0,91.0,44.0,,,277.0,42.0,739.0,38.0
9.0,502.0,28.0,87.0,28.0,,,265.0,38.0,749.0,46.0
10.0,496.0,33.0,109.0,16.0,,,240.0,41.0,749.0,52.0
11.0,492.0,36.0,117.0,11.0,,,217.0,38.0,749.0,53.0
12.0,490.0,40.0,151.0,17.0,,,191.0,37.0,749.0,64.0
13.0,487.0,39.0,153.0,38.0,,,171.0,37.0,749.0,64.0
14.0,487.0,40.0,146.0,37.0,,,161.0,39.0,749.0,57.0
15.0,488.0,39.0,150.0,10.0,,,147.0,42.0,749.0,29.0
16.0,486.0,36.0,150.0,52.0,,,143.0,48.0,749.0,13.0
17.0,481.0,38.0,163.0,45.0,,,141.0,59.0,738.0,5.0
18.0,478.0,40.0,183.0,52.0,,,146.0,59.0,665.0,53.0
19.0,472.0,37.0,190.0,51.0,,,157.0,60.0,718.0,15.0
20.0,467.0,40.0,185.0,52.0,,,177.0,69.0,690.0,14.0
21.0,463.0,39.0,215.0,53.0,,,174.0,68.0,658.0,2.0
22.0,462.0,32.0,202.0,54.0,,,164.0,64.0,636.0,5.0
23.0,462.0,36.0,207.0,54.0,,,161.0,68.0,622.0,5.0
24.0,462.0,34.0,206.0,53.0,,,157.0,66.0,610.0,4.0
25.0,462.0,38.0,204.0,54.0,,,149.0,59.0,580.0,0.0
26.0,457.0,38.0,190.0,49.0,,,151.0,62.0,558.0,0.0
27.0,457.0,38.0,185.0,45.0,,,141.0,69.0,534.0,2.0
28.0,454.0,39.0,187.0,49.0,,,129.0,46.0,544.0,15.0
29.0,452.0,41.0,179.0,53.0,,,140.0,35.0,537.0,24.0
30.0,449.0,44.0,178.0,42.0,,,173.0,27.0,515.0,16.0
31.0,442.0,51.0,173.0,50.0,,,204.0,22.0,495.0,13.0
32.0,423.0,49.0,180.0,52.0,,,241.0,18.0,473.0,15.0
33.0,316.0,41.0,175.0,54.0,,,269.0,15.0,447.0,26.0
34.0,396.0,62.0,173.0,51.0,,,295.0,9.0,427.0,26.0
35.0,389.0,62.0,168.0,53.0,,,325.0,22.0,383.0,20.0
36.0,369.0,65.0,156.0,54.0,,,356.0,47.0,357.0,5.0
37.0,356.0,63.0,144.0,52.0,,,395.0,59.0,333.0,9.0
38.0,342.0,57.0,143.0,52.0,,,416.0,61.0,322.0,5.0
39.0,336.0,58.0,149.0,54.0,,,435.0,62.0,304.0,3.0
40.0,329.0,62.0,154.0,53.0,,,456.0,47.0,279.0,11.0
41.0,321.0,63.0,242.0,1.0,,,461.0,33.0,246.0,17.0
42.0,318.0,33.0,163.0,54.0,,,458.0,29.0,221.0,15.0
43.0,311.0,54.0,129.0,54.0,,,466.0,16.0,124.0,52.0
44.0,307.0,47.0,91.0,54.0,,,483.0,26.0,169.0,14.0
45.0,309.0,53.0,157.0,4.0,,,504.0,32.0,169.0,14.0
46.0,319.0,49.0,140.0,9.0,,,524.0,33.0,168.0,16.0
47.0,340.0,53.0,135.0,2.0,,,559.0,34.0,137.0,31.0
48.0,363.0,26.0,112.0,3.0,,,591.0,22.0,37.0,54.0
49.0,350.0,23.0,88.0,0.0,,,620.0,21.0,120.0,23.0
50.0,357.0,25.0,90.0,9.0,,,651.0,21.0,119.0,26.0
51.0,359.0,38.0,90.0,12.0,,,686.0,17.0,96.0,8.0
52.0,359.0,39.0,43.0,49.0,,,727.0,13.0,1.0,44.0
53.0,356.0,36.0,98.0,13.0,,,749.0,19.0,36.0,43.0
