frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,328.0,73.0,61.0,85.0,703.0,61.0,467.0,57.0,689.0,81.0
2.0,337.0,66.0,50.0,84.0,700.0,56.0,442.0,58.0,654.0,65.0
3.0,355.0,62.0,51.0,85.0,678.0,60.0,425.0,57.0,629.0,75.0
4.0,371.0,69.0,50.0,86.0,683.0,67.0,424.0,61.0,602.0,76.0
5.0,378.0,65.0,50.0,88.0,702.0,77.0,435.0,69.0,581.0,76.0
6.0,409.0,68.0,53.0,86.0,706.0,84.0,457.0,74.0,563.0,79.0
7.0,430.0,65.0,52.0,87.0,699.0,89.0,478.0,83.0,530.0,79.0
8.0,429.0,59.0,49.0,84.0,679.0,76.0,492.0,82.0,489.0,81.0
9.0,419.0,60.0,49.0,84.0,678.0,77.0,510.0,81.0,483.0,78.0
10.0,404.0,63.0,49.0,83.0,671.0,78.0,524.0,72.0,467.0,76.0
11.0,414.0,70.0,49.0,85.0,649.0,72.0,546.0,68.0,444.0,73.0
12.0,433.0,71.0,49.0,86.0,616.0,64.0,560.0,71.0,426.0,76.0
13.0,452.0,66.0,47.0,85.0,585.0,72.0,591.0,73.0,404.0,73.0
14.0,462.0,66.0,45.0,81.0,564.0,72.0,602.0,77.0,377.0,76.0
15.0,475.0,66.0,45.0,78.0,559.0,74.0,621.0,80.0,364.0,71.0
16.0,490.0,73.0,44.0,78.0,534.0,73.0,662.0,82.0,352.0,74.0
17.0,506.0,72.0,45.0,81.0,510.0,74.0,674.0,77.0,331.0,73.0
18.0,515.0,64.0,44.0,85.0,491.0,79.0,691.0,75.0,297.0,77.0
19.0,538.0,57.0,47.0,83.0,459.0,77.0,700.0,78.0,270.0,75.0
20.0,575.0,68.0,43.0,81.0,439.0,74.0,691.0,71.0,233.0,76.0
21.0,595.0,69.0,43.0,80.0,422.0,79.0,694.0,56.0,192.0,78.0
22.0,619.0,55.0,43.0,85.0,406.0,81.0,702.0,53.0,165.0,77.0
23.0,647.0,56.0,44.0,83.0,382.0,78.0,686.0,60.0,130.0,80.0
24.0,648.0,56.0,42.0,79.0,352.0,79.0,693.0,75.0,88.0,78.0
25.0,664.0,51.0,41.0,77.0,344.0,80.0,697.0,79.0,43.0,73.0
26.0,685.0,56.0,41.0,77.0,330.0,78.0,694.0,73.0,39.0,72.0
27.0,693.0,55.0,41.0,78.0,320.0,81.0,691.0,73.0,37.0,67.0
28.0,700.0,63.0,40.0,79.0,312.0,75.0,679.0,69.0,51.0,78.0
29.0,699.0,69.0,43.0,79.0,299.0,81.0,669.0,72.0,45.0,79.0
30.0,703.0,65.0,42.0,75.0,287.0,78.0,642.0,67.0,38.0,80.0
31.0,707.0,64.0,40.0,73.0,271.0,75.0,628.0,64.0,49.0,66.0
32.0,699.0,52.0,40.0,73.0,251.0,74.0,619.0,74.0,43.0,60.0
33.0,699.0,40.0,39.0,74.0,229.0,76.0,608.0,79.0,50.0,57.0
34.0,694.0,44.0,40.0,78.0,207.0,78.0,602.0,79.0,55.0,52.0
35.0,688.0,48.0,39.0,72.0,189.0,68.0,596.0,83.0,57.0,46.0
36.0,685.0,60.0,40.0,69.0,168.0,73.0,574.0,86.0,83.0,63.0
37.0,691.0,68.0,39.0,69.0,169.0,71.0,561.0,88.0,95.0,70.0
38.0,691.0,70.0,39.0,66.0,174.0,63.0,551.0,88.0,106.0,52.0
39.0,679.0,68.0,39.0,67.0,145.0,58.0,540.0,88.0,129.0,47.0
40.0,673.0,62.0,37.0,64.0,131.0,70.0,517.0,87.0,136.0,53.0
41.0,688.0,60.0,35.0,62.0,129.0,73.0,498.0,82.0,143.0,56.0
42.0,688.0,65.0,35.0,60.0,120.0,68.0,482.0,85.0,156.0,57.0
43.0,677.0,61.0,34.0,62.0,93.0,74.0,482.0,82.0,196.0,54.0
44.0,652.0,56.0,34.0,65.0,59.0,72.0,509.0,73.0,233.0,54.0
45.0,620.0,59.0,35.0,64.0,59.0,72.0,542.0,70.0,268.0,58.0
46.0,601.0,61.0,33.0,59.0,56.0,70.0,562.0,67.0,297.0,54.0
47.0,584.0,71.0,34.0,56.0,57.0,70.0,582.0,80.0,327.0,53.0
48.0,572.0,61.0,34.0,58.0,65.0,66.0,587.0,75.0,369.0,58.0
49.0,558.0,61.0,34.0,56.0,63.0,48.0,600.0,71.0,400.0,63.0
50.0,544.0,60.0,36.0,59.0,54.0,49.0,596.0,57.0,452.0,51.0
51.0,531.0,58.0,34.0,59.0,51.0,53.0,575.0,54.0,465.0,58.0
52.0,522.0,57.0,33.0,59.0,54.0,63.0,557.0,60.0,489.0,66.0
53.0,508.0,50.0,34.0,58.0,61.0,73.0,517.0,65.0,505.0,78.0
