frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,749.0,6.0,281.0,42.0,320.0,27.0,685.0,69.0,749.0,46.0
2.0,749.0,5.0,283.0,43.0,321.0,27.0,669.0,60.0,749.0,61.0
3.0,749.0,11.0,297.0,38.0,330.0,27.0,653.0,50.0,749.0,62.0
4.0,749.0,18.0,300.0,43.0,332.0,27.0,648.0,43.0,749.0,60.0
5.0,749.0,14.0,304.0,46.0,348.0,24.0,637.0,41.0,749.0,35.0
6.0,739.0,13.0,305.0,49.0,363.0,23.0,617.0,41.0,749.0,25.0
7.0,724.0,7.0,312.0,35.0,381.0,28.0,603.0,38.0,749.0,17.0
8.0,728.0,0.0,309.0,40.0,389.0,26.0,591.0,32.0,672.0,44.0
9.0,749.0,4.0,318.0,17.0,413.0,27.0,564.0,28.0,749.0,46.0
10.0,749.0,14.0,324.0,15.0,424.0,27.0,555.0,26.0,749.0,46.0
11.0,749.0,27.0,327.0,40.0,439.0,26.0,556.0,19.0,749.0,44.0
12.0,749.0,41.0,323.0,43.0,447.0,25.0,579.0,17.0,749.0,40.0
13.0,749.0,50.0,327.0,41.0,461.0,24.0,606.0,22.0,749.0,20.0
14.0,749.0,56.0,326.0,48.0,472.0,25.0,638.0,27.0,726.0,4.0
15.0,738.0,48.0,330.0,15.0,485.0,24.0,668.0,30.0,719.0,8.0
16.0,730.0,48.0,337.0,40.0,495.0,23.0,697.0,46.0,710.0,2.0
17.0,612.0,21.0,341.0,29.0,506.0,24.0,725.0,69.0,692.0,5.0
18.0,608.0,34.0,344.0,42.0,518.0,24.0,741.0,69.0,650.0,2.0
19.0,692.0,48.0,338.0,42.0,523.0,25.0,738.0,67.0,545.0,29.0
20.0,678.0,58.0,343.0,43.0,525.0,23.0,701.0,58.0,537.0,35.0
21.0,656.0,65.0,340.0,16.0,531.0,24.0,690.0,69.0,538.0,32.0
22.0,642.0,67.0,353.0,16.0,543.0,23.0,685.0,64.0,519.0,27.0
23.0,622.0,65.0,351.0,49.0,557.0,24.0,716.0,69.0,476.0,28.0
24.0,605.0,64.0,350.0,16.0,576.0,23.0,749.0,68.0,469.0,32.0
25.0,599.0,61.0,359.0,13.0,590.0,23.0,749.0,69.0,502.0,25.0
26.0,595.0,66.0,367.0,11.0,607.0,24.0,735.0,63.0,539.0,42.0
27.0,573.0,61.0,375.0,34.0,618.0,52.0,740.0,63.0,556.0,54.0
28.0,570.0,66.0,370.0,40.0,627.0,23.0,639.0,27.0,589.0,53.0
29.0,561.0,69.0,369.0,49.0,643.0,28.0,701.0,64.0,603.0,54.0
30.0,545.0,66.0,364.0,39.0,659.0,25.0,673.0,64.0,610.0,53.0
31.0,492.0,54.0,374.0,11.0,670.0,27.0,653.0,69.0,698.0,66.0
32.0,507.0,54.0,376.0,12.0,657.0,24.0,639.0,64.0,719.0,69.0
33.0,524.0,52.0,370.0,37.0,636.0,33.0,616.0,63.0,736.0,69.0
34.0,539.0,24.0,379.0,46.0,637.0,32.0,589.0,61.0,749.0,60.0
35.0,545.0,24.0,387.0,48.0,627.0,29.0,575.0,69.0,743.0,69.0
36.0,542.0,22.0,381.0,34.0,619.0,25.0,561.0,69.0,749.0,69.0
37.0,550.0,27.0,376.0,33.0,600.0,25.0,484.0,49.0,749.0,69.0
38.0,560.0,24.0,372.0,32.0,584.0,24.0,484.0,54.0,749.0,68.0
39.0,570.0,35.0,378.0,41.0,584.0,24.0,491.0,44.0,722.0,69.0
40.0,582.0,35.0,386.0,35.0,595.0,24.0,487.0,44.0,715.0,69.0
41.0,586.0,36.0,385.0,50.0,616.0,23.0,482.0,50.0,734.0,69.0
42.0,593.0,36.0,407.0,39.0,643.0,21.0,476.0,50.0,749.0,69.0
43.0,608.0,39.0,413.0,41.0,664.0,31.0,477.0,50.0,749.0,49.0
44.0,613.0,38.0,416.0,40.0,653.0,32.0,477.0,51.0,749.0,32.0
45.0,616.0,35.0,417.0,54.0,656.0,30.0,480.0,48.0,749.0,21.0
46.0,622.0,27.0,414.0,47.0,644.0,26.0,493.0,50.0,749.0,8.0
47.0,630.0,21.0,424.0,47.0,631.0,24.0,521.0,51.0,738.0,16.0
48.0,646.0,19.0,419.0,53.0,618.0,22.0,532.0,31.0,730.0,2.0
49.0,658.0,26.0,420.0,54.0,603.0,21.0,527.0,29.0,710.0,27.0
50.0,669.0,40.0,421.0,45.0,595.0,21.0,535.0,32.0,626.0,34.0
51.0,667.0,33.0,436.0,48.0,596.0,21.0,534.0,30.0,608.0,29.0
52.0,640.0,20.0,442.0,38.0,564.0,25.0,552.0,37.0,588.0,26.0
53.0,616.0,19.0,455.0,41.0,578.0,24.0,567.0,52.0,574.0,23.0
54.0,602.0,21.0,471.0,53.0,575.0,24.0,565.0,48.0,560.0,22.0
