frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,666.0,51.0,111.0,51.0,401.0,60.0,91.0,72.0,0.0,0.0
2.0,683.0,54.0,129.0,47.0,372.0,62.0,92.0,68.0,0.0,0.0
3.0,698.0,58.0,145.0,50.0,348.0,60.0,104.0,72.0,0.0,0.0
4.0,704.0,63.0,160.0,56.0,328.0,64.0,101.0,71.0,0.0,0.0
5.0,706.0,53.0,177.0,54.0,304.0,67.0,100.0,73.0,0.0,0.0
6.0,700.0,47.0,196.0,59.0,276.0,69.0,103.0,73.0,0.0,0.0
7.0,704.0,48.0,216.0,62.0,256.0,73.0,83.0,64.0,0.0,0.0
8.0,697.0,49.0,238.0,64.0,234.0,72.0,27.0,18.0,0.0,0.0
9.0,702.0,49.0,252.0,65.0,218.0,74.0,23.0,18.0,0.0,0.0
10.0,700.0,48.0,268.0,64.0,200.0,71.0,38.0,20.0,0.0,0.0
11.0,707.0,54.0,289.0,68.0,172.0,71.0,85.0,65.0,0.0,0.0
12.0,703.0,54.0,300.0,68.0,146.0,76.0,103.0,71.0,0.0,0.0
13.0,706.0,57.0,308.0,70.0,150.0,52.0,108.0,69.0,0.0,0.0
14.0,700.0,54.0,319.0,70.0,160.0,57.0,117.0,66.0,0.0,0.0
15.0,707.0,54.0,333.0,69.0,176.0,53.0,132.0,63.0,0.0,0.0
16.0,700.0,58.0,342.0,69.0,199.0,64.0,142.0,67.0,0.0,0.0
17.0,703.0,55.0,356.0,66.0,228.0,61.0,138.0,61.0,0.0,0.0
18.0,704.0,48.0,365.0,68.0,249.0,60.0,141.0,56.0,0.0,0.0
19.0,764.0,7.0,375.0,62.0,269.0,63.0,127.0,57.0,0.0,0.0
20.0,761.0,8.0,391.0,62.0,310.0,56.0,115.0,52.0,0.0,0.0
21.0,716.0,53.0,404.0,64.0,315.0,62.0,107.0,52.0,0.0,0.0
22.0,707.0,46.0,419.0,62.0,342.0,68.0,88.0,48.0,0.0,0.0
23.0,706.0,47.0,426.0,56.0,361.0,61.0,65.0,45.0,0.0,0.0
24.0,702.0,50.0,441.0,59.0,375.0,52.0,56.0,49.0,0.0,0.0
25.0,708.0,46.0,455.0,54.0,394.0,53.0,54.0,46.0,0.0,0.0
26.0,698.0,48.0,473.0,58.0,396.0,56.0,60.0,41.0,0.0,0.0
27.0,705.0,46.0,484.0,55.0,419.0,58.0,69.0,37.0,0.0,0.0
28.0,701.0,53.0,492.0,57.0,409.0,59.0,70.0,38.0,0.0,0.0
29.0,695.0,56.0,499.0,61.0,394.0,59.0,66.0,38.0,0.0,0.0
30.0,695.0,50.0,513.0,62.0,371.0,62.0,68.0,40.0,0.0,0.0
31.0,709.0,50.0,529.0,63.0,345.0,62.0,64.0,39.0,0.0,0.0
32.0,675.0,52.0,541.0,64.0,307.0,67.0,64.0,40.0,0.0,0.0
33.0,669.0,50.0,546.0,62.0,293.0,74.0,67.0,42.0,0.0,0.0
34.0,668.0,48.0,554.0,63.0,281.0,71.0,70.0,42.0,0.0,0.0
35.0,672.0,42.0,564.0,64.0,297.0,61.0,65.0,45.0,0.0,0.0
36.0,685.0,42.0,573.0,64.0,330.0,60.0,72.0,48.0,0.0,0.0
37.0,701.0,48.0,581.0,60.0,374.0,50.0,70.0,44.0,0.0,0.0
38.0,703.0,49.0,593.0,63.0,411.0,52.0,68.0,46.0,0.0,0.0
39.0,694.0,60.0,605.0,64.0,438.0,65.0,69.0,45.0,0.0,0.0
40.0,684.0,61.0,615.0,61.0,476.0,67.0,64.0,55.0,0.0,0.0
41.0,674.0,60.0,629.0,61.0,498.0,71.0,67.0,51.0,0.0,0.0
42.0,672.0,59.0,637.0,62.0,518.0,74.0,71.0,51.0,0.0,0.0
43.0,650.0,53.0,644.0,64.0,536.0,75.0,73.0,48.0,0.0,0.0
44.0,637.0,47.0,656.0,63.0,526.0,64.0,27.0,24.0,0.0,0.0
45.0,648.0,47.0,671.0,68.0,539.0,60.0,73.0,48.0,0.0,0.0
46.0,669.0,50.0,678.0,67.0,557.0,60.0,72.0,51.0,0.0,0.0
47.0,674.0,49.0,690.0,60.0,590.0,60.0,72.0,49.0,0.0,0.0
48.0,664.0,49.0,697.0,60.0,625.0,57.0,22.0,27.0,0.0,0.0
49.0,648.0,57.0,697.0,60.0,645.0,52.0,83.0,60.0,0.0,0.0
50.0,644.0,58.0,697.0,58.0,651.0,56.0,84.0,64.0,0.0,0.0
