frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,119.0,18.0,670.0,27.0,116.0,14.0,,
2.0,,,37.0,50.0,652.0,26.0,110.0,21.0,,
3.0,,,129.0,17.0,636.0,27.0,115.0,18.0,,
4.0,,,54.0,48.0,611.0,34.0,111.0,21.0,,
5.0,,,78.0,44.0,591.0,30.0,113.0,20.0,,
6.0,,,97.0,48.0,569.0,30.0,113.0,14.0,,
7.0,,,115.0,45.0,556.0,28.0,112.0,13.0,,
8.0,,,140.0,44.0,544.0,29.0,104.0,12.0,,
9.0,,,163.0,51.0,525.0,29.0,103.0,12.0,,
10.0,,,188.0,44.0,511.0,26.0,103.0,14.0,,
11.0,,,216.0,45.0,499.0,27.0,115.0,13.0,,
12.0,,,235.0,51.0,490.0,26.0,113.0,23.0,,
13.0,,,258.0,42.0,483.0,24.0,110.0,25.0,,
14.0,,,287.0,40.0,468.0,23.0,114.0,18.0,,
15.0,,,306.0,49.0,455.0,22.0,113.0,20.0,,
16.0,,,329.0,42.0,446.0,20.0,113.0,27.0,,
17.0,,,341.0,42.0,434.0,25.0,115.0,40.0,,
18.0,,,357.0,39.0,430.0,26.0,112.0,37.0,,
19.0,,,368.0,46.0,421.0,24.0,111.0,44.0,,
20.0,,,389.0,41.0,408.0,22.0,114.0,52.0,,
21.0,,,410.0,45.0,390.0,27.0,112.0,47.0,,
22.0,,,431.0,41.0,380.0,22.0,115.0,35.0,,
23.0,,,445.0,43.0,372.0,23.0,115.0,39.0,,
24.0,,,469.0,40.0,353.0,22.0,115.0,30.0,,
25.0,,,482.0,50.0,341.0,19.0,108.0,20.0,,
26.0,,,506.0,41.0,328.0,20.0,107.0,12.0,,
27.0,,,517.0,43.0,319.0,21.0,102.0,14.0,,
28.0,,,527.0,45.0,315.0,21.0,110.0,17.0,,
29.0,,,547.0,54.0,301.0,21.0,109.0,21.0,,
30.0,,,580.0,47.0,292.0,20.0,105.0,20.0,,
31.0,,,601.0,18.0,285.0,21.0,108.0,19.0,,
32.0,,,621.0,19.0,275.0,23.0,123.0,9.0,,
33.0,,,649.0,20.0,262.0,26.0,107.0,19.0,,
34.0,,,662.0,20.0,246.0,37.0,124.0,26.0,,
35.0,,,654.0,49.0,232.0,36.0,141.0,24.0,,
36.0,,,652.0,49.0,233.0,22.0,151.0,13.0,,
37.0,,,654.0,51.0,244.0,24.0,160.0,17.0,,
38.0,,,658.0,49.0,253.0,20.0,169.0,12.0,,
39.0,,,769.0,6.0,263.0,16.0,137.0,11.0,,
40.0,,,656.0,48.0,265.0,22.0,115.0,17.0,,
41.0,,,769.0,5.0,270.0,13.0,107.0,19.0,,
42.0,,,0.0,0.0,271.0,14.0,109.0,17.0,,
43.0,,,0.0,0.0,278.0,12.0,129.0,10.0,,
44.0,,,0.0,0.0,293.0,10.0,145.0,13.0,,
45.0,,,0.0,0.0,301.0,13.0,159.0,7.0,,
46.0,,,645.0,54.0,305.0,14.0,165.0,8.0,,
47.0,,,642.0,46.0,312.0,13.0,173.0,7.0,,
48.0,,,0.0,0.0,331.0,6.0,189.0,6.0,,
49.0,,,0.0,0.0,340.0,18.0,201.0,9.0,,
50.0,,,637.0,48.0,358.0,30.0,224.0,10.0,,
51.0,,,0.0,0.0,373.0,30.0,238.0,12.0,,
52.0,,,0.0,0.0,388.0,27.0,257.0,18.0,,
53.0,,,0.0,0.0,403.0,18.0,291.0,12.0,,
