frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,708.0,56.0,209.0,71.0,620.0,66.0,,,,
2.0,771.0,29.0,233.0,64.0,601.0,55.0,,,,
3.0,774.0,36.0,253.0,68.0,584.0,52.0,,,,
4.0,697.0,66.0,283.0,72.0,556.0,57.0,,,,
5.0,707.0,68.0,307.0,72.0,539.0,57.0,,,,
6.0,695.0,62.0,325.0,68.0,512.0,63.0,,,,
7.0,703.0,59.0,343.0,65.0,496.0,67.0,,,,
8.0,689.0,62.0,359.0,65.0,480.0,72.0,,,,
9.0,682.0,67.0,378.0,64.0,459.0,80.0,,,,
10.0,674.0,74.0,394.0,65.0,440.0,85.0,,,,
11.0,674.0,73.0,407.0,64.0,434.0,78.0,,,,
12.0,689.0,67.0,412.0,62.0,421.0,70.0,,,,
13.0,699.0,69.0,415.0,63.0,404.0,72.0,,,,
14.0,682.0,60.0,416.0,63.0,383.0,71.0,,,,
15.0,657.0,61.0,422.0,64.0,379.0,71.0,,,,
16.0,662.0,64.0,434.0,67.0,377.0,72.0,,,,
17.0,680.0,66.0,449.0,64.0,372.0,72.0,,,,
18.0,691.0,60.0,464.0,68.0,366.0,73.0,,,,
19.0,695.0,75.0,482.0,71.0,355.0,76.0,,,,
20.0,695.0,67.0,496.0,69.0,335.0,75.0,,,,
21.0,687.0,64.0,510.0,71.0,328.0,74.0,,,,
22.0,665.0,62.0,522.0,69.0,314.0,75.0,,,,
23.0,651.0,67.0,536.0,67.0,301.0,76.0,,,,
24.0,618.0,76.0,548.0,66.0,279.0,74.0,,,,
25.0,604.0,65.0,566.0,68.0,257.0,64.0,,,,
26.0,628.0,59.0,579.0,68.0,234.0,55.0,,,,
27.0,645.0,53.0,589.0,67.0,219.0,61.0,,,,
28.0,664.0,55.0,596.0,67.0,206.0,63.0,,,,
29.0,688.0,55.0,611.0,66.0,194.0,73.0,,,,
30.0,701.0,62.0,632.0,64.0,168.0,72.0,,,,
31.0,699.0,68.0,638.0,67.0,143.0,72.0,,,,
32.0,688.0,61.0,646.0,69.0,62.0,52.0,,,,
33.0,659.0,53.0,656.0,67.0,111.0,71.0,,,,
34.0,619.0,48.0,675.0,66.0,32.0,42.0,,,,
35.0,584.0,45.0,691.0,67.0,32.0,39.0,,,,
36.0,579.0,42.0,691.0,64.0,78.0,62.0,,,,
37.0,555.0,37.0,694.0,61.0,75.0,63.0,,,,
38.0,503.0,65.0,693.0,59.0,62.0,62.0,,,,
39.0,468.0,83.0,698.0,56.0,58.0,66.0,,,,
40.0,467.0,69.0,766.0,36.0,57.0,74.0,,,,
41.0,466.0,64.0,766.0,31.0,58.0,82.0,,,,
42.0,450.0,66.0,694.0,52.0,59.0,84.0,,,,
43.0,409.0,67.0,767.0,27.0,61.0,88.0,,,,
44.0,371.0,69.0,688.0,49.0,62.0,89.0,,,,
45.0,347.0,64.0,680.0,50.0,64.0,87.0,,,,
46.0,334.0,59.0,686.0,48.0,63.0,86.0,,,,
47.0,309.0,52.0,766.0,22.0,59.0,84.0,,,,
48.0,288.0,57.0,765.0,9.0,68.0,90.0,,,,
49.0,251.0,61.0,767.0,17.0,68.0,94.0,,,,
50.0,210.0,65.0,698.0,51.0,71.0,93.0,,,,
51.0,202.0,66.0,687.0,60.0,69.0,92.0,,,,
52.0,178.0,71.0,678.0,58.0,55.0,91.0,,,,
