frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,40.0,12.0,15.0,7.0,51.0,17.0,63.0,43.0,0.0,0.0
2.0,39.0,12.0,20.0,8.0,47.0,16.0,66.0,42.0,0.0,0.0
3.0,40.0,13.0,16.0,9.0,48.0,15.0,66.0,42.0,0.0,0.0
4.0,49.0,13.0,19.0,7.0,53.0,14.0,65.0,44.0,0.0,0.0
5.0,50.0,12.0,24.0,9.0,53.0,14.0,66.0,41.0,0.0,0.0
6.0,54.0,12.0,31.0,10.0,52.0,12.0,68.0,42.0,0.0,0.0
7.0,52.0,13.0,36.0,11.0,51.0,13.0,60.0,43.0,0.0,0.0
8.0,48.0,12.0,35.0,11.0,51.0,13.0,61.0,42.0,0.0,0.0
9.0,44.0,13.0,40.0,10.0,45.0,12.0,65.0,41.0,0.0,0.0
10.0,43.0,13.0,40.0,12.0,48.0,11.0,59.0,42.0,0.0,0.0
11.0,46.0,13.0,43.0,10.0,49.0,13.0,60.0,42.0,0.0,0.0
12.0,42.0,14.0,45.0,12.0,50.0,12.0,51.0,39.0,0.0,0.0
13.0,44.0,16.0,44.0,13.0,46.0,14.0,42.0,37.0,0.0,0.0
14.0,37.0,14.0,43.0,11.0,47.0,14.0,37.0,34.0,0.0,0.0
15.0,25.0,15.0,42.0,12.0,49.0,13.0,30.0,33.0,0.0,0.0
16.0,41.0,13.0,43.0,10.0,46.0,12.0,32.0,33.0,0.0,0.0
17.0,39.0,13.0,43.0,11.0,44.0,12.0,36.0,33.0,0.0,0.0
18.0,33.0,14.0,43.0,11.0,44.0,11.0,23.0,28.0,0.0,0.0
19.0,39.0,13.0,43.0,12.0,47.0,11.0,16.0,21.0,0.0,0.0
20.0,46.0,13.0,39.0,11.0,53.0,11.0,13.0,21.0,0.0,0.0
21.0,56.0,13.0,34.0,10.0,47.0,13.0,18.0,27.0,0.0,0.0
22.0,58.0,12.0,29.0,10.0,49.0,13.0,26.0,29.0,0.0,0.0
23.0,46.0,11.0,25.0,12.0,49.0,12.0,27.0,28.0,0.0,0.0
24.0,40.0,11.0,21.0,13.0,36.0,13.0,26.0,27.0,0.0,0.0
25.0,42.0,11.0,22.0,14.0,33.0,15.0,27.0,27.0,0.0,0.0
26.0,41.0,11.0,36.0,13.0,36.0,15.0,27.0,32.0,0.0,0.0
27.0,42.0,11.0,43.0,12.0,45.0,15.0,31.0,31.0,0.0,0.0
28.0,48.0,11.0,48.0,11.0,56.0,15.0,33.0,31.0,0.0,0.0
29.0,49.0,12.0,43.0,10.0,50.0,14.0,37.0,34.0,0.0,0.0
30.0,52.0,13.0,35.0,12.0,50.0,13.0,46.0,36.0,0.0,0.0
31.0,48.0,13.0,32.0,11.0,50.0,16.0,43.0,37.0,0.0,0.0
32.0,52.0,13.0,21.0,13.0,54.0,14.0,40.0,40.0,0.0,0.0
33.0,47.0,14.0,13.0,15.0,57.0,13.0,47.0,37.0,0.0,0.0
34.0,50.0,13.0,23.0,15.0,56.0,13.0,25.0,29.0,0.0,0.0
35.0,45.0,12.0,31.0,12.0,54.0,12.0,18.0,26.0,0.0,0.0
36.0,39.0,12.0,39.0,13.0,55.0,12.0,15.0,22.0,0.0,0.0
37.0,39.0,13.0,48.0,12.0,54.0,15.0,16.0,23.0,0.0,0.0
38.0,33.0,13.0,43.0,13.0,72.0,14.0,56.0,42.0,0.0,0.0
39.0,34.0,11.0,45.0,14.0,79.0,16.0,19.0,30.0,0.0,0.0
40.0,65.0,10.0,52.0,14.0,80.0,15.0,23.0,23.0,0.0,0.0
41.0,57.0,10.0,57.0,14.0,57.0,15.0,30.0,19.0,0.0,0.0
42.0,37.0,13.0,55.0,13.0,50.0,13.0,36.0,17.0,0.0,0.0
43.0,39.0,13.0,42.0,13.0,47.0,12.0,26.0,15.0,0.0,0.0
44.0,43.0,12.0,31.0,12.0,52.0,13.0,26.0,14.0,0.0,0.0
45.0,55.0,13.0,31.0,13.0,64.0,12.0,25.0,14.0,0.0,0.0
46.0,57.0,13.0,42.0,12.0,67.0,13.0,30.0,13.0,0.0,0.0
47.0,50.0,12.0,48.0,14.0,72.0,13.0,26.0,15.0,0.0,0.0
48.0,29.0,12.0,47.0,12.0,75.0,13.0,36.0,15.0,0.0,0.0
49.0,37.0,12.0,47.0,14.0,80.0,15.0,35.0,16.0,0.0,0.0
50.0,52.0,11.0,46.0,13.0,82.0,15.0,45.0,13.0,0.0,0.0
51.0,53.0,10.0,49.0,14.0,80.0,14.0,51.0,15.0,0.0,0.0
52.0,56.0,10.0,52.0,13.0,68.0,14.0,48.0,14.0,0.0,0.0
53.0,48.0,11.0,52.0,13.0,59.0,13.0,35.0,13.0,0.0,0.0
