frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,702.0,73.0,,,,,691.0,68.0
2.0,,,690.0,74.0,,,,,716.0,75.0
3.0,,,675.0,80.0,,,,,729.0,84.0
4.0,,,659.0,79.0,,,,,718.0,75.0
5.0,,,638.0,79.0,,,,,708.0,59.0
6.0,,,611.0,82.0,,,,,713.0,59.0
7.0,,,589.0,76.0,,,,,720.0,64.0
8.0,,,571.0,81.0,,,,,728.0,73.0
9.0,,,560.0,78.0,,,,,728.0,75.0
10.0,,,570.0,64.0,,,,,728.0,75.0
11.0,,,577.0,51.0,,,,,729.0,80.0
12.0,,,584.0,55.0,,,,,721.0,67.0
13.0,,,597.0,56.0,,,,,718.0,63.0
14.0,,,614.0,49.0,,,,,719.0,60.0
15.0,,,633.0,51.0,,,,,727.0,49.0
16.0,,,632.0,65.0,,,,,722.0,50.0
17.0,,,636.0,69.0,,,,,721.0,49.0
18.0,,,645.0,66.0,,,,,723.0,49.0
19.0,,,655.0,64.0,,,,,716.0,43.0
20.0,,,678.0,65.0,,,,,702.0,53.0
21.0,,,723.0,44.0,,,,,687.0,66.0
22.0,,,657.0,74.0,,,,,677.0,63.0
23.0,,,671.0,66.0,,,,,674.0,49.0
24.0,,,742.0,27.0,,,,,677.0,54.0
25.0,,,721.0,44.0,,,,,695.0,50.0
26.0,,,674.0,62.0,,,,,719.0,44.0
27.0,,,642.0,62.0,,,,,710.0,53.0
28.0,,,610.0,55.0,,,,,722.0,67.0
29.0,,,599.0,46.0,,,,,719.0,74.0
30.0,,,587.0,42.0,,,,,712.0,68.0
31.0,,,594.0,40.0,,,,,726.0,70.0
32.0,,,585.0,41.0,,,,,728.0,73.0
33.0,,,614.0,46.0,,,,,726.0,71.0
34.0,,,632.0,51.0,,,,,723.0,78.0
35.0,,,651.0,58.0,,,,,719.0,71.0
36.0,,,668.0,62.0,,,,,715.0,61.0
37.0,,,678.0,67.0,,,,,709.0,55.0
38.0,,,689.0,66.0,,,,,698.0,56.0
39.0,,,688.0,64.0,,,,,678.0,61.0
40.0,,,662.0,51.0,,,,,668.0,63.0
41.0,,,643.0,47.0,,,,,672.0,52.0
42.0,,,613.0,44.0,,,,,679.0,46.0
43.0,,,590.0,41.0,,,,,701.0,45.0
44.0,,,567.0,40.0,,,,,714.0,40.0
45.0,,,539.0,47.0,,,,,718.0,38.0
46.0,,,522.0,53.0,,,,,708.0,44.0
47.0,,,503.0,60.0,,,,,690.0,50.0
48.0,,,439.0,52.0,,,,,684.0,56.0
49.0,,,368.0,45.0,,,,,680.0,59.0
50.0,,,299.0,50.0,,,,,682.0,46.0
51.0,,,230.0,55.0,,,,,680.0,58.0
52.0,,,148.0,53.0,,,,,674.0,54.0
53.0,,,123.0,51.0,,,,,673.0,56.0
54.0,,,117.0,50.0,,,,,664.0,60.0
55.0,,,104.0,48.0,,,,,658.0,61.0
56.0,,,104.0,52.0,,,,,661.0,59.0
