frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,655.0,52.0,,,,,722.0,68.0
2.0,,,652.0,54.0,,,,,751.0,69.0
3.0,,,646.0,54.0,,,,,758.0,69.0
4.0,,,633.0,54.0,,,,,747.0,69.0
5.0,,,617.0,53.0,,,,,653.0,24.0
6.0,,,596.0,53.0,,,,,753.0,51.0
7.0,,,567.0,54.0,,,,,760.0,57.0
8.0,,,556.0,53.0,,,,,769.0,69.0
9.0,,,542.0,53.0,,,,,769.0,69.0
10.0,,,532.0,54.0,,,,,769.0,69.0
11.0,,,605.0,1.0,,,,,769.0,69.0
12.0,,,545.0,54.0,,,,,760.0,61.0
13.0,,,562.0,43.0,,,,,758.0,54.0
14.0,,,567.0,53.0,,,,,761.0,48.0
15.0,,,664.0,15.0,,,,,769.0,38.0
16.0,,,603.0,54.0,,,,,769.0,34.0
17.0,,,615.0,44.0,,,,,769.0,32.0
18.0,,,613.0,54.0,,,,,769.0,34.0
19.0,,,623.0,54.0,,,,,757.0,12.0
20.0,,,643.0,53.0,,,,,742.0,20.0
21.0,,,723.0,15.0,,,,,723.0,17.0
22.0,,,636.0,49.0,,,,,707.0,9.0
23.0,,,640.0,54.0,,,,,693.0,4.0
24.0,,,0.0,0.0,,,,,703.0,0.0
25.0,,,666.0,51.0,,,,,736.0,8.0
26.0,,,643.0,44.0,,,,,769.0,4.0
27.0,,,609.0,49.0,,,,,755.0,26.0
28.0,,,568.0,52.0,,,,,769.0,55.0
29.0,,,545.0,20.0,,,,,760.0,69.0
30.0,,,532.0,20.0,,,,,754.0,57.0
31.0,,,539.0,15.0,,,,,769.0,63.0
32.0,,,530.0,16.0,,,,,769.0,68.0
33.0,,,561.0,21.0,,,,,769.0,69.0
34.0,,,580.0,23.0,,,,,759.0,69.0
35.0,,,606.0,22.0,,,,,757.0,65.0
36.0,,,625.0,22.0,,,,,755.0,54.0
37.0,,,639.0,23.0,,,,,654.0,22.0
38.0,,,647.0,27.0,,,,,742.0,39.0
39.0,,,643.0,27.0,,,,,718.0,16.0
40.0,,,607.0,25.0,,,,,699.0,7.0
41.0,,,588.0,17.0,,,,,696.0,0.0
42.0,,,558.0,18.0,,,,,701.0,7.0
43.0,,,535.0,17.0,,,,,745.0,1.0
44.0,,,512.0,17.0,,,,,660.0,36.0
45.0,,,484.0,19.0,,,,,663.0,53.0
46.0,,,472.0,23.0,,,,,660.0,31.0
47.0,,,461.0,26.0,,,,,734.0,1.0
48.0,,,386.0,25.0,,,,,721.0,0.0
49.0,,,313.0,17.0,,,,,701.0,17.0
50.0,,,245.0,25.0,,,,,697.0,25.0
51.0,,,179.0,25.0,,,,,695.0,28.0
52.0,,,93.0,26.0,,,,,619.0,25.0
53.0,,,68.0,17.0,,,,,619.0,19.0
54.0,,,62.0,17.0,,,,,624.0,17.0
55.0,,,49.0,16.0,,,,,621.0,17.0
56.0,,,50.0,24.0,,,,,621.0,19.0
