frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,725.0,42.0,718.0,86.0,759.0,9.0,623.0,86.0,174.0,66.0
2.0,728.0,46.0,760.0,15.0,758.0,7.0,756.0,7.0,757.0,15.0
3.0,728.0,45.0,760.0,15.0,759.0,11.0,757.0,10.0,757.0,17.0
4.0,728.0,47.0,760.0,10.0,758.0,10.0,756.0,7.0,757.0,18.0
5.0,727.0,48.0,760.0,8.0,24.0,74.0,756.0,8.0,758.0,16.0
6.0,725.0,49.0,760.0,20.0,758.0,8.0,757.0,9.0,757.0,18.0
7.0,724.0,51.0,760.0,14.0,758.0,8.0,758.0,12.0,757.0,18.0
8.0,762.0,55.0,760.0,9.0,758.0,8.0,756.0,9.0,756.0,8.0
9.0,762.0,57.0,760.0,13.0,758.0,9.0,757.0,10.0,758.0,18.0
10.0,762.0,37.0,760.0,12.0,758.0,8.0,756.0,7.0,756.0,8.0
11.0,762.0,40.0,760.0,9.0,758.0,8.0,757.0,9.0,757.0,15.0
12.0,762.0,56.0,760.0,11.0,758.0,7.0,757.0,9.0,757.0,17.0
13.0,762.0,59.0,760.0,9.0,759.0,9.0,757.0,9.0,757.0,15.0
14.0,762.0,54.0,760.0,13.0,758.0,7.0,757.0,10.0,757.0,19.0
15.0,762.0,54.0,760.0,25.0,758.0,7.0,758.0,12.0,756.0,16.0
16.0,762.0,57.0,760.0,8.0,757.0,7.0,757.0,11.0,757.0,16.0
17.0,762.0,58.0,760.0,15.0,24.0,72.0,756.0,8.0,757.0,21.0
18.0,762.0,38.0,760.0,16.0,758.0,10.0,757.0,9.0,757.0,15.0
19.0,762.0,57.0,761.0,15.0,758.0,8.0,757.0,8.0,757.0,9.0
20.0,763.0,27.0,760.0,17.0,758.0,8.0,756.0,8.0,757.0,19.0
21.0,762.0,56.0,760.0,11.0,758.0,8.0,757.0,9.0,757.0,72.0
22.0,762.0,51.0,760.0,9.0,758.0,9.0,757.0,10.0,757.0,17.0
23.0,762.0,53.0,760.0,11.0,758.0,12.0,756.0,8.0,757.0,14.0
24.0,762.0,52.0,760.0,15.0,758.0,7.0,758.0,12.0,757.0,17.0
25.0,762.0,55.0,760.0,14.0,758.0,6.0,758.0,11.0,757.0,15.0
26.0,762.0,55.0,760.0,19.0,758.0,9.0,756.0,8.0,757.0,18.0
27.0,763.0,36.0,760.0,17.0,758.0,8.0,756.0,8.0,757.0,80.0
28.0,762.0,56.0,760.0,13.0,758.0,8.0,757.0,9.0,757.0,17.0
29.0,763.0,35.0,760.0,13.0,758.0,7.0,756.0,7.0,757.0,19.0
30.0,763.0,30.0,760.0,16.0,758.0,7.0,757.0,10.0,757.0,19.0
31.0,762.0,57.0,760.0,14.0,758.0,7.0,757.0,9.0,757.0,16.0
32.0,722.0,73.0,760.0,15.0,47.0,74.0,758.0,11.0,757.0,75.0
33.0,722.0,79.0,760.0,13.0,54.0,79.0,756.0,7.0,757.0,81.0
34.0,763.0,35.0,760.0,18.0,758.0,7.0,758.0,11.0,758.0,21.0
35.0,762.0,56.0,760.0,15.0,36.0,22.0,756.0,7.0,757.0,18.0
36.0,763.0,31.0,760.0,12.0,758.0,6.0,757.0,8.0,758.0,14.0
37.0,763.0,27.0,760.0,13.0,759.0,6.0,757.0,9.0,757.0,16.0
38.0,762.0,55.0,761.0,13.0,18.0,21.0,757.0,8.0,757.0,17.0
39.0,762.0,53.0,760.0,13.0,758.0,6.0,757.0,12.0,757.0,19.0
40.0,762.0,57.0,760.0,14.0,757.0,7.0,756.0,9.0,757.0,13.0
41.0,763.0,36.0,760.0,12.0,758.0,7.0,757.0,11.0,757.0,73.0
42.0,762.0,57.0,760.0,13.0,758.0,7.0,758.0,11.0,757.0,21.0
43.0,763.0,28.0,760.0,14.0,758.0,6.0,756.0,8.0,757.0,15.0
44.0,762.0,54.0,760.0,15.0,758.0,8.0,757.0,10.0,757.0,17.0
45.0,762.0,56.0,760.0,8.0,758.0,9.0,758.0,11.0,757.0,17.0
46.0,762.0,53.0,760.0,20.0,758.0,9.0,757.0,11.0,757.0,20.0
47.0,762.0,56.0,760.0,14.0,758.0,8.0,756.0,8.0,758.0,19.0
48.0,762.0,36.0,760.0,11.0,31.0,56.0,757.0,9.0,756.0,13.0
49.0,762.0,57.0,760.0,20.0,758.0,7.0,757.0,9.0,757.0,25.0
50.0,762.0,35.0,760.0,17.0,759.0,7.0,756.0,8.0,757.0,19.0
51.0,762.0,54.0,760.0,14.0,759.0,7.0,758.0,12.0,757.0,19.0
52.0,717.0,80.0,760.0,16.0,758.0,7.0,756.0,9.0,757.0,17.0
53.0,762.0,37.0,760.0,14.0,758.0,7.0,757.0,9.0,757.0,16.0
