frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,710.0,54.0,24.0,6.0,0.0,0.0,658.0,48.0,641.0,28.0
2.0,712.0,54.0,761.0,4.0,27.0,6.0,758.0,69.0,759.0,69.0
3.0,716.0,54.0,767.0,54.0,28.0,6.0,702.0,0.0,743.0,54.0
4.0,708.0,54.0,764.0,54.0,770.0,54.0,703.0,9.0,759.0,69.0
5.0,738.0,54.0,764.0,54.0,76.0,60.0,702.0,15.0,759.0,69.0
6.0,717.0,54.0,769.0,54.0,92.0,65.0,706.0,11.0,759.0,69.0
7.0,709.0,54.0,768.0,52.0,758.0,69.0,758.0,69.0,759.0,69.0
8.0,710.0,54.0,761.0,13.0,104.0,61.0,707.0,17.0,759.0,69.0
9.0,708.0,54.0,761.0,13.0,758.0,69.0,758.0,69.0,759.0,69.0
10.0,707.0,54.0,760.0,69.0,0.0,0.0,738.0,2.0,759.0,69.0
11.0,714.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0,69.0
12.0,757.0,54.0,761.0,5.0,758.0,69.0,746.0,53.0,759.0,69.0
13.0,708.0,54.0,764.0,54.0,80.0,34.0,759.0,54.0,759.0,69.0
14.0,708.0,53.0,769.0,54.0,81.0,34.0,0.0,0.0,759.0,69.0
15.0,712.0,54.0,760.0,69.0,81.0,30.0,0.0,0.0,759.0,69.0
16.0,709.0,54.0,761.0,15.0,85.0,41.0,746.0,0.0,759.0,69.0
17.0,707.0,54.0,761.0,5.0,81.0,32.0,745.0,54.0,759.0,69.0
18.0,543.0,37.0,761.0,5.0,768.0,54.0,744.0,0.0,759.0,69.0
19.0,714.0,54.0,765.0,53.0,105.0,30.0,758.0,69.0,759.0,69.0
20.0,709.0,54.0,761.0,11.0,109.0,35.0,757.0,54.0,759.0,69.0
21.0,747.0,54.0,768.0,53.0,769.0,54.0,752.0,54.0,759.0,69.0
22.0,709.0,54.0,767.0,53.0,0.0,0.0,746.0,0.0,759.0,69.0
23.0,717.0,54.0,769.0,53.0,107.0,37.0,743.0,0.0,759.0,69.0
24.0,714.0,54.0,766.0,53.0,0.0,0.0,744.0,0.0,745.0,54.0
25.0,741.0,54.0,769.0,54.0,112.0,36.0,753.0,53.0,0.0,0.0
26.0,707.0,54.0,769.0,53.0,114.0,34.0,759.0,54.0,771.0,54.0
27.0,718.0,54.0,766.0,54.0,758.0,69.0,751.0,54.0,0.0,0.0
28.0,707.0,54.0,770.0,53.0,115.0,34.0,752.0,53.0,759.0,69.0
29.0,708.0,54.0,760.0,69.0,768.0,53.0,0.0,0.0,759.0,69.0
30.0,711.0,54.0,0.0,0.0,114.0,33.0,754.0,54.0,759.0,69.0
31.0,765.0,6.0,761.0,3.0,109.0,33.0,747.0,53.0,759.0,69.0
32.0,707.0,54.0,761.0,4.0,114.0,34.0,757.0,54.0,759.0,69.0
33.0,722.0,54.0,769.0,53.0,122.0,33.0,584.0,54.0,759.0,69.0
34.0,712.0,54.0,771.0,53.0,758.0,69.0,756.0,54.0,759.0,69.0
35.0,770.0,54.0,765.0,54.0,89.0,19.0,752.0,53.0,759.0,69.0
36.0,717.0,54.0,761.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,709.0,54.0,769.0,53.0,0.0,0.0,0.0,0.0,744.0,54.0
38.0,708.0,54.0,760.0,69.0,0.0,0.0,759.0,54.0,771.0,54.0
39.0,707.0,54.0,761.0,17.0,44.0,25.0,0.0,0.0,0.0,0.0
40.0,707.0,54.0,760.0,69.0,768.0,54.0,591.0,52.0,0.0,0.0
41.0,715.0,54.0,769.0,53.0,37.0,27.0,757.0,54.0,0.0,0.0
42.0,713.0,54.0,769.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,707.0,54.0,769.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,709.0,54.0,769.0,53.0,758.0,69.0,753.0,54.0,0.0,0.0
45.0,774.0,54.0,765.0,54.0,146.0,48.0,597.0,43.0,0.0,0.0
46.0,709.0,54.0,770.0,53.0,154.0,54.0,760.0,54.0,0.0,0.0
47.0,709.0,54.0,761.0,12.0,767.0,54.0,748.0,54.0,771.0,54.0
48.0,707.0,54.0,761.0,13.0,771.0,53.0,749.0,54.0,759.0,69.0
49.0,707.0,54.0,760.0,69.0,758.0,69.0,761.0,54.0,0.0,0.0
50.0,707.0,54.0,761.0,13.0,201.0,48.0,752.0,54.0,0.0,0.0
51.0,709.0,54.0,769.0,54.0,218.0,47.0,753.0,54.0,0.0,0.0
52.0,707.0,54.0,769.0,53.0,758.0,69.0,753.0,54.0,0.0,0.0
53.0,707.0,54.0,761.0,13.0,0.0,0.0,0.0,0.0,750.0,54.0
