frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,748.0,11.0,612.0,13.0,99.0,65.0,415.0,18.0,346.0,69.0
2.0,679.0,54.0,614.0,11.0,2.0,20.0,414.0,18.0,349.0,69.0
3.0,672.0,54.0,614.0,13.0,87.0,67.0,415.0,17.0,356.0,69.0
4.0,671.0,54.0,614.0,14.0,87.0,69.0,415.0,17.0,360.0,69.0
5.0,671.0,54.0,614.0,13.0,88.0,69.0,413.0,19.0,360.0,69.0
6.0,680.0,46.0,614.0,12.0,88.0,69.0,413.0,19.0,366.0,69.0
7.0,679.0,54.0,614.0,13.0,87.0,69.0,414.0,19.0,360.0,69.0
8.0,672.0,54.0,614.0,13.0,89.0,67.0,415.0,19.0,374.0,69.0
9.0,745.0,14.0,614.0,13.0,94.0,64.0,415.0,20.0,378.0,64.0
10.0,746.0,12.0,614.0,13.0,91.0,8.0,415.0,21.0,383.0,69.0
11.0,675.0,54.0,614.0,13.0,106.0,61.0,415.0,20.0,384.0,68.0
12.0,678.0,54.0,611.0,11.0,103.0,59.0,415.0,20.0,389.0,69.0
13.0,671.0,54.0,612.0,6.0,104.0,59.0,414.0,52.0,388.0,69.0
14.0,678.0,54.0,613.0,5.0,103.0,63.0,415.0,20.0,377.0,69.0
15.0,679.0,46.0,611.0,3.0,112.0,62.0,416.0,20.0,398.0,69.0
16.0,671.0,54.0,606.0,5.0,119.0,59.0,415.0,48.0,417.0,64.0
17.0,671.0,54.0,598.0,0.0,46.0,51.0,417.0,48.0,429.0,54.0
18.0,671.0,54.0,603.0,0.0,39.0,41.0,417.0,47.0,446.0,44.0
19.0,749.0,11.0,610.0,1.0,47.0,48.0,416.0,50.0,453.0,39.0
20.0,749.0,11.0,618.0,1.0,98.0,44.0,419.0,47.0,459.0,36.0
21.0,671.0,54.0,639.0,8.0,100.0,42.0,416.0,50.0,459.0,30.0
22.0,671.0,54.0,660.0,7.0,49.0,53.0,417.0,48.0,454.0,20.0
23.0,748.0,11.0,700.0,8.0,56.0,48.0,418.0,48.0,458.0,25.0
24.0,747.0,12.0,731.0,14.0,52.0,54.0,417.0,49.0,464.0,26.0
25.0,679.0,46.0,754.0,15.0,49.0,54.0,418.0,50.0,471.0,28.0
26.0,672.0,54.0,758.0,15.0,63.0,54.0,417.0,50.0,480.0,23.0
27.0,749.0,10.0,757.0,16.0,69.0,54.0,417.0,53.0,494.0,24.0
28.0,747.0,12.0,758.0,17.0,72.0,54.0,418.0,51.0,520.0,23.0
29.0,749.0,10.0,763.0,19.0,70.0,53.0,419.0,49.0,539.0,15.0
30.0,672.0,54.0,765.0,20.0,68.0,54.0,418.0,48.0,555.0,8.0
31.0,678.0,54.0,764.0,35.0,76.0,47.0,419.0,50.0,575.0,10.0
32.0,672.0,54.0,753.0,58.0,150.0,69.0,420.0,49.0,601.0,14.0
33.0,671.0,54.0,747.0,64.0,154.0,69.0,420.0,47.0,623.0,15.0
34.0,672.0,54.0,746.0,64.0,161.0,68.0,418.0,51.0,638.0,4.0
35.0,672.0,54.0,745.0,65.0,179.0,69.0,419.0,50.0,657.0,0.0
36.0,672.0,54.0,744.0,65.0,208.0,69.0,420.0,48.0,670.0,6.0
37.0,672.0,54.0,744.0,65.0,231.0,69.0,418.0,51.0,678.0,13.0
38.0,672.0,54.0,744.0,65.0,252.0,69.0,419.0,51.0,683.0,22.0
39.0,672.0,54.0,743.0,66.0,277.0,69.0,418.0,52.0,695.0,22.0
40.0,679.0,47.0,743.0,66.0,292.0,69.0,418.0,52.0,708.0,18.0
41.0,679.0,46.0,743.0,66.0,317.0,69.0,420.0,49.0,718.0,15.0
42.0,679.0,46.0,743.0,66.0,350.0,69.0,418.0,52.0,727.0,8.0
43.0,671.0,54.0,743.0,66.0,368.0,69.0,419.0,51.0,731.0,14.0
44.0,671.0,54.0,744.0,64.0,376.0,69.0,418.0,52.0,733.0,17.0
45.0,671.0,54.0,744.0,65.0,376.0,69.0,418.0,51.0,736.0,30.0
46.0,749.0,11.0,744.0,64.0,377.0,69.0,419.0,50.0,736.0,38.0
47.0,749.0,12.0,743.0,66.0,376.0,69.0,418.0,52.0,755.0,51.0
48.0,749.0,12.0,743.0,66.0,376.0,69.0,418.0,51.0,760.0,62.0
49.0,672.0,53.0,743.0,66.0,376.0,69.0,418.0,51.0,760.0,64.0
50.0,749.0,12.0,743.0,66.0,376.0,69.0,417.0,52.0,761.0,69.0
51.0,749.0,12.0,743.0,66.0,374.0,69.0,418.0,50.0,769.0,69.0
