frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,,,53.0,85.0,349.0,46.0,112.0,78.0
2.0,,,,,56.0,86.0,349.0,47.0,113.0,78.0
3.0,,,,,60.0,86.0,349.0,46.0,113.0,78.0
4.0,,,,,58.0,78.0,349.0,46.0,113.0,78.0
5.0,,,,,50.0,71.0,349.0,46.0,113.0,78.0
6.0,,,,,50.0,71.0,349.0,46.0,113.0,78.0
7.0,,,,,50.0,71.0,349.0,46.0,114.0,78.0
8.0,,,,,47.0,66.0,349.0,46.0,113.0,78.0
9.0,,,,,41.0,64.0,350.0,46.0,113.0,78.0
10.0,,,,,39.0,70.0,349.0,46.0,113.0,78.0
11.0,,,,,44.0,66.0,349.0,47.0,113.0,78.0
12.0,,,,,34.0,61.0,349.0,47.0,113.0,78.0
13.0,,,,,39.0,67.0,349.0,47.0,113.0,78.0
14.0,,,,,44.0,65.0,350.0,47.0,113.0,78.0
15.0,,,,,46.0,65.0,349.0,47.0,113.0,78.0
16.0,,,,,46.0,71.0,350.0,47.0,113.0,78.0
17.0,,,,,58.0,71.0,350.0,47.0,113.0,78.0
18.0,,,,,54.0,61.0,349.0,47.0,113.0,78.0
19.0,,,,,40.0,62.0,349.0,47.0,113.0,78.0
20.0,,,,,50.0,69.0,350.0,47.0,113.0,78.0
21.0,,,,,59.0,73.0,349.0,47.0,113.0,78.0
22.0,,,,,63.0,84.0,349.0,47.0,113.0,78.0
23.0,,,,,67.0,90.0,350.0,47.0,113.0,78.0
24.0,,,,,61.0,88.0,349.0,47.0,113.0,78.0
25.0,,,,,53.0,76.0,350.0,47.0,113.0,78.0
26.0,,,,,50.0,71.0,349.0,47.0,111.0,78.0
27.0,,,,,55.0,61.0,349.0,47.0,107.0,78.0
28.0,,,,,51.0,58.0,350.0,47.0,100.0,80.0
29.0,,,,,53.0,57.0,349.0,47.0,98.0,82.0
30.0,,,,,62.0,66.0,349.0,47.0,90.0,82.0
31.0,,,,,72.0,75.0,350.0,47.0,79.0,84.0
32.0,,,,,81.0,73.0,350.0,47.0,68.0,83.0
33.0,,,,,97.0,73.0,350.0,47.0,63.0,83.0
34.0,,,,,107.0,75.0,350.0,47.0,63.0,81.0
35.0,,,,,108.0,80.0,349.0,47.0,57.0,77.0
36.0,,,,,120.0,69.0,350.0,47.0,63.0,71.0
37.0,,,,,122.0,71.0,349.0,46.0,63.0,70.0
38.0,,,,,120.0,74.0,349.0,47.0,57.0,66.0
39.0,,,,,119.0,73.0,350.0,47.0,50.0,66.0
40.0,,,,,110.0,76.0,349.0,47.0,47.0,64.0
41.0,,,,,97.0,87.0,350.0,47.0,48.0,70.0
42.0,,,,,82.0,91.0,349.0,47.0,53.0,80.0
43.0,,,,,73.0,86.0,350.0,47.0,60.0,84.0
44.0,,,,,73.0,86.0,350.0,47.0,69.0,81.0
45.0,,,,,73.0,86.0,350.0,47.0,72.0,82.0
46.0,,,,,73.0,88.0,350.0,47.0,70.0,85.0
47.0,,,,,59.0,102.0,350.0,47.0,74.0,85.0
48.0,,,,,57.0,97.0,350.0,47.0,68.0,86.0
49.0,,,,,56.0,87.0,350.0,48.0,65.0,88.0
50.0,,,,,54.0,96.0,350.0,48.0,71.0,86.0
51.0,,,,,55.0,102.0,350.0,48.0,95.0,73.0
52.0,,,,,62.0,90.0,350.0,48.0,113.0,76.0
53.0,,,,,66.0,88.0,350.0,48.0,118.0,77.0
