frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,,,,,102.0,63.0,294.0,15.0,90.0,50.0
2.0,,,,,100.0,69.0,294.0,16.0,91.0,49.0
3.0,,,,,102.0,69.0,294.0,15.0,91.0,49.0
4.0,,,,,95.0,69.0,294.0,15.0,91.0,49.0
5.0,,,,,85.0,69.0,294.0,15.0,91.0,49.0
6.0,,,,,85.0,69.0,294.0,15.0,91.0,49.0
7.0,,,,,85.0,69.0,294.0,16.0,92.0,48.0
8.0,,,,,79.0,69.0,294.0,16.0,91.0,49.0
9.0,,,,,71.0,69.0,295.0,15.0,91.0,49.0
10.0,,,,,39.0,6.0,294.0,16.0,91.0,49.0
11.0,,,,,71.0,69.0,294.0,16.0,91.0,49.0
12.0,,,,,34.0,6.0,294.0,16.0,91.0,49.0
13.0,,,,,70.0,69.0,294.0,17.0,91.0,49.0
14.0,,,,,71.0,69.0,295.0,16.0,91.0,49.0
15.0,,,,,73.0,69.0,294.0,17.0,91.0,49.0
16.0,,,,,79.0,69.0,295.0,16.0,91.0,49.0
17.0,,,,,94.0,69.0,295.0,16.0,91.0,49.0
18.0,,,,,84.0,67.0,294.0,17.0,91.0,49.0
19.0,,,,,76.0,66.0,294.0,17.0,91.0,49.0
20.0,,,,,80.0,69.0,295.0,16.0,91.0,49.0
21.0,,,,,93.0,69.0,294.0,17.0,91.0,49.0
22.0,,,,,105.0,69.0,294.0,17.0,91.0,48.0
23.0,,,,,110.0,69.0,295.0,16.0,91.0,49.0
24.0,,,,,110.0,67.0,294.0,17.0,91.0,49.0
25.0,,,,,81.0,15.0,295.0,16.0,91.0,49.0
26.0,,,,,72.0,6.0,294.0,18.0,89.0,49.0
27.0,,,,,64.0,20.0,294.0,17.0,84.0,51.0
28.0,,,,,51.0,13.0,295.0,17.0,80.0,50.0
29.0,,,,,53.0,16.0,294.0,17.0,80.0,54.0
30.0,,,,,96.0,60.0,294.0,18.0,74.0,48.0
31.0,,,,,116.0,67.0,295.0,17.0,66.0,45.0
32.0,,,,,54.0,53.0,295.0,17.0,54.0,44.0
33.0,,,,,72.0,50.0,295.0,17.0,45.0,50.0
34.0,,,,,80.0,54.0,295.0,17.0,43.0,49.0
35.0,,,,,86.0,51.0,294.0,18.0,107.0,60.0
36.0,,,,,85.0,54.0,295.0,16.0,27.0,18.0
37.0,,,,,81.0,54.0,294.0,17.0,20.0,22.0
38.0,,,,,84.0,54.0,294.0,18.0,2.0,17.0
39.0,,,,,83.0,54.0,295.0,17.0,50.0,13.0
40.0,,,,,90.0,54.0,294.0,18.0,47.0,6.0
41.0,,,,,83.0,54.0,295.0,17.0,48.0,13.0
42.0,,,,,77.0,52.0,294.0,18.0,97.0,69.0
43.0,,,,,62.0,47.0,295.0,17.0,44.0,47.0
44.0,,,,,63.0,42.0,295.0,17.0,53.0,45.0
45.0,,,,,63.0,40.0,295.0,17.0,56.0,53.0
46.0,,,,,64.0,41.0,295.0,17.0,57.0,54.0
47.0,,,,,63.0,47.0,295.0,17.0,59.0,54.0
48.0,,,,,59.0,46.0,295.0,18.0,57.0,52.0
49.0,,,,,45.0,51.0,295.0,18.0,53.0,54.0
50.0,,,,,104.0,54.0,295.0,18.0,58.0,51.0
51.0,,,,,116.0,46.0,295.0,18.0,67.0,52.0
52.0,,,,,55.0,47.0,295.0,18.0,139.0,21.0
53.0,,,,,55.0,48.0,295.0,18.0,135.0,22.0
