frame,fly1_x,fly1_y,fly2_x,fly2_y,fly3_x,fly3_y,fly4_x,fly4_y,fly5_x,fly5_y
1.0,782.0,9.0,778.0,12.0,773.0,19.0,536.0,50.0,769.0,31.0
2.0,782.0,58.0,777.0,67.0,125.0,52.0,536.0,49.0,767.0,73.0
3.0,782.0,32.0,777.0,31.0,772.0,17.0,536.0,49.0,767.0,71.0
4.0,782.0,63.0,778.0,30.0,773.0,19.0,536.0,49.0,767.0,71.0
5.0,782.0,33.0,777.0,67.0,772.0,16.0,534.0,49.0,767.0,75.0
6.0,782.0,34.0,777.0,66.0,773.0,19.0,535.0,50.0,767.0,72.0
7.0,782.0,60.0,777.0,33.0,772.0,19.0,535.0,50.0,767.0,71.0
8.0,782.0,61.0,777.0,31.0,772.0,18.0,534.0,50.0,767.0,73.0
9.0,782.0,63.0,777.0,68.0,772.0,16.0,535.0,50.0,767.0,72.0
10.0,782.0,61.0,777.0,68.0,773.0,17.0,534.0,49.0,767.0,72.0
11.0,782.0,29.0,777.0,64.0,772.0,16.0,534.0,49.0,767.0,74.0
12.0,782.0,64.0,777.0,65.0,768.0,15.0,533.0,50.0,767.0,71.0
13.0,782.0,33.0,777.0,32.0,772.0,16.0,533.0,49.0,767.0,71.0
14.0,782.0,60.0,777.0,70.0,773.0,18.0,532.0,50.0,767.0,72.0
15.0,782.0,64.0,777.0,32.0,772.0,17.0,533.0,50.0,767.0,72.0
16.0,782.0,64.0,777.0,68.0,351.0,38.0,533.0,50.0,767.0,71.0
17.0,782.0,59.0,777.0,66.0,773.0,18.0,533.0,50.0,767.0,73.0
18.0,782.0,58.0,777.0,31.0,773.0,16.0,534.0,49.0,767.0,72.0
19.0,782.0,63.0,777.0,69.0,773.0,17.0,534.0,49.0,767.0,70.0
20.0,782.0,31.0,777.0,68.0,773.0,19.0,534.0,49.0,767.0,73.0
21.0,782.0,60.0,777.0,32.0,772.0,17.0,532.0,49.0,767.0,70.0
22.0,782.0,38.0,777.0,19.0,772.0,17.0,533.0,49.0,767.0,72.0
23.0,782.0,65.0,777.0,33.0,772.0,17.0,533.0,50.0,767.0,74.0
24.0,782.0,66.0,777.0,67.0,772.0,16.0,534.0,49.0,767.0,70.0
25.0,781.0,62.0,777.0,33.0,772.0,16.0,534.0,50.0,767.0,68.0
26.0,782.0,63.0,777.0,66.0,773.0,16.0,534.0,50.0,767.0,75.0
27.0,782.0,63.0,777.0,65.0,772.0,16.0,534.0,50.0,767.0,71.0
28.0,782.0,62.0,777.0,32.0,772.0,16.0,534.0,50.0,767.0,75.0
29.0,782.0,65.0,777.0,67.0,773.0,19.0,534.0,50.0,767.0,72.0
30.0,670.0,10.0,777.0,31.0,772.0,16.0,533.0,50.0,767.0,73.0
31.0,695.0,73.0,777.0,33.0,773.0,16.0,534.0,50.0,767.0,71.0
32.0,782.0,61.0,777.0,67.0,772.0,17.0,534.0,50.0,767.0,71.0
33.0,782.0,60.0,777.0,69.0,773.0,17.0,534.0,50.0,767.0,73.0
34.0,674.0,15.0,777.0,66.0,772.0,17.0,534.0,50.0,767.0,69.0
35.0,703.0,76.0,777.0,67.0,770.0,15.0,534.0,50.0,767.0,72.0
36.0,677.0,13.0,777.0,30.0,768.0,15.0,534.0,50.0,767.0,71.0
37.0,662.0,11.0,777.0,33.0,773.0,18.0,535.0,50.0,767.0,72.0
38.0,782.0,64.0,777.0,67.0,773.0,18.0,535.0,50.0,767.0,73.0
39.0,782.0,64.0,777.0,33.0,772.0,17.0,534.0,49.0,767.0,72.0
40.0,782.0,63.0,777.0,67.0,772.0,16.0,535.0,49.0,767.0,74.0
41.0,663.0,9.0,777.0,30.0,772.0,17.0,534.0,49.0,767.0,74.0
42.0,670.0,12.0,777.0,33.0,772.0,17.0,535.0,49.0,766.0,69.0
43.0,672.0,13.0,777.0,32.0,772.0,18.0,534.0,49.0,767.0,75.0
44.0,676.0,11.0,777.0,66.0,773.0,18.0,536.0,49.0,767.0,76.0
45.0,680.0,6.0,777.0,66.0,772.0,17.0,535.0,50.0,767.0,72.0
46.0,678.0,6.0,777.0,67.0,772.0,17.0,536.0,50.0,767.0,72.0
47.0,677.0,7.0,777.0,66.0,772.0,18.0,536.0,50.0,767.0,72.0
48.0,676.0,7.0,777.0,32.0,772.0,17.0,535.0,49.0,767.0,71.0
49.0,782.0,63.0,777.0,67.0,774.0,16.0,536.0,49.0,767.0,70.0
50.0,782.0,57.0,777.0,65.0,773.0,18.0,537.0,50.0,767.0,74.0
51.0,782.0,60.0,777.0,65.0,773.0,19.0,536.0,50.0,767.0,71.0
